de	The name of the Latin script letter D/d.	/de/
tú	second person pronoun in singular tense/ you	/ˈtu/
nos	dative of nosotros: to us/ for us	/nos/
nada	nothing/ zero/ zilch/ not...anything	/ˈnada/
cómo	how?	/ˈkomo/
este	alternative spelling of ése	/ˈese/
o	The sixteenth letter of the Spanish alphabet/ called o and written…	/o/
he	alternative form of hacer	/ˈeɾ/
ser	to be (essentially or identified as)	/ˈseɾ/
tiene	to have/ to possess	/teˈneɾ/
puedo	to be able to/ can	/poˈdeɾ/
ella	he/ him/ masculine personal third person subject and disjunctive…	/ˈel/
quiero	to desire/ to want/ to want to	/keˈɾeɾ/
hacer	to do	/aˈθeɾ/
fue	to go (away from speaker and listener)	/ˈiɾ/
gracias	thank you/ thanks	/ˈɡɾaθjas/ [ˈɡɾa.θjas]
vez	time/ instance	/ˈbeθ/
era	first/third-person singular imperfect indicative of ser	/ˈeɾa/
soy	to be (essentially or identified as)	/ˈseɾ/
sólo	only/ solely/ just	/ˈsolo/
todos	all/ every	/ˈtodo/
porque	because	/ˈpoɾke/
son	tone (pleasant sound)	/ˈson/
tienes	to have/ to possess	/teˈneɾ/
creo	to create	/kɾeˈaɾ/
voy	to go (away from speaker and listener)	/ˈiɾ/
sabes	to know/ to understand (a fact)	/saˈbeɾ/
estaba	to be (have a temporary or permanent location in space)	/esˈtaɾ/
puede	to be able to/ can	/poˈdeɾ/
eres	to be (essentially or identified as)	/ˈseɾ/
ese	The name of the Latin script letter S/s.	/ˈese/
usted	second person formal/ you (singular)	/usˈted/
entonces	then/ next/ thereupon/ at that time/ at that point	/enˈtonθes/
hola	hello/ hi/ hey	/ˈola/
solo	sole/ one/ only/ single (unique)	/ˈsolo/
verdad	truth	/beɾˈda/
casa	house	/ˈkasa/
tan	so/ as	/tan/
quién	who?/ whom?/ (with “de”) whose?	/ˈkjen/
sus	apocopic form of suyo his/ her/ its/ one's/ their/ your (formal)	/su/
tiempo	time	/ˈtjempo/
dos	do (musical note)	/ˈdo/
esa	that	/ˈese/
nunca	never	/ˈnunka/
dónde	where?/ in what place?	/ˈdonde/
va	to go (away from speaker and listener)	/ˈiɾ/
oh	oh (expression of awe/ surprise/ pain or realization)	/ˈo/
favor	favor/favour	/faˈboɾ/
mucho	apocopic form of mucho/ very	/ˈmwi/
mí	me/ (declined form of yo used as the object of a preposition)	/ˈmi/
quieres	to desire/ to want/ to want to	/keˈɾeɾ/
siento	to feel	/senˈtiɾ/
señor	mister/ sir/ lord (title conferred on a married or older male)	/seˈɲoɾ/
mejor	well (adverbial form of bueno)	/ˈbjen/
hace	to do	/aˈθeɾ/
has	alternative form of hacer	/ˈeɾ/
decir	to say/ to tell	/deˈθiɾ/
también	also/ too/ as well	/tamˈbjen/
sobre	over/ above/ on/ upon/ atop	/ˈsobɾe/
dios	god	/ˈdjos/
sin	without	/ˈsin/
tenemos	first-person plural present indicative of tener	/teˈnemos/
están	to be (have a temporary or permanent location in space)	/esˈtaɾ/
ti	prepositional of tú	/ˈti/
puedes	to be able to/ can	/poˈdeɾ/
ver	to see/ to spot	/ˈbeɾ/
hombre	man/ (adult male human)	/ˈombɾe/
vida	life	/ˈbida/
alguien	someone/ somebody	/ˈalɡjen/
cosas	thing (object/ concept)	/ˈkosa/
siempre	always	/ˈsjempɾe/
hasta	even	/ˈasta/
ahí	there (away from the speaker)	/aˈi/
ir	to go (away from speaker and listener)	/ˈiɾ/
años	year	/ˈaɲo/
antes	elk	/ˈante/
estar	to be (have a temporary or permanent location in space)	/esˈtaɾ/
ni	Used when negating two or more elements/ and not/ not A or B/ not…	/ˈni/
poco	little/ not much	/ˈpoko/
día	day (any period of 24 hours)	/ˈdia/
uno	apocopic form of uno (“one”)	/un/
noche	night (the period between sunset and sunrise)	/ˈnot͡ʃe/
hecho	to do	/aˈθeɾ/
mis	apocopic form of mío/ my	/mi/
estamos	to be (have a temporary or permanent location in space)	/esˈtaɾ/
otra	other/ another	/ˈotɾo/
acuerdo	to agree	/akoɾˈdaɾ/
trabajo	to work	/tɾabaˈxaɾ/
nosotros	we (masculine plural)	/noˈsotɾos/
parece	to seem/ to see fit	/paɾeˈθeɾ/
gente	people	/ˈxente/
sea	inflection of ser:	/ˈsea/
padre	father	/ˈpadɾe/
mira	to look at (to try to see/ to pay attention to with one’s eyes)	/miˈɾaɾ/
mismo	same/ identical/ one and the same/ indicates that the two compared…	/ˈmismo/
dijo	to say/ to tell	/deˈθiɾ/
nadie	no one/ nobody (anyone or anybody)	/ˈnadje/
quiere	to desire/ to want/ to want to	/keˈɾeɾ/
podría	to be able to/ can	/poˈdeɾ/
hablar	to talk/ to speak/ to communicate using words	/aˈblaɾ/
vas	to go (away from speaker and listener)	/ˈiɾ/
ellos	he/ him/ masculine personal third person subject and disjunctive…	/ˈel/
tal	such	/ˈtal/
pasa	dried	/ˈpaso/
fuera	to go (away from speaker and listener)	/ˈiɾ/
después	later/ afterwards/ afterward/ post	/desˈpwes/
han	alternative form of hacer	/ˈeɾ/
desde	since (from a specified time in the past)	/ˈdesde/
dinero	money	/diˈneɾo/
mundo	world/ earth (human collective existence)	/ˈmundo/
claro	clear (easily understood)	/ˈklaɾo/
momento	moment/ instant	/moˈmento/
les	dative of ellos and ellas/ to them/ for them	/les/
tener	to have/ to possess	/teˈneɾ/
estado	to be (have a temporary or permanent location in space)	/esˈtaɾ/
otro	other/ another	/ˈotɾo/
había	have/ forms the perfect aspect	/aˈbeɾ/
mañana	tomorrow	/maˈɲana/
tenía	to have/ to possess	/teˈneɾ/
madre	father	/ˈpadɾe/
vale	a voucher/ an IOU	/ˈbale/
lugar	place	/luˈɡaɾ/
haciendo	to do	/aˈθeɾ/
donde	where/ in what place	/ˈdonde/
seguro	secure/ safe (free from danger)	/seˈɡuɾo/
sabe	to know/ to understand (a fact)	/saˈbeɾ/
podemos	to be able to/ can	/poˈdeɾ/
tus	plural of tu	/tus/
espera	to hope	/espeˈɾaɾ/
nuevo	new	/ˈnwebo/
sido	to be (essentially or identified as)	/ˈseɾ/
cosa	thing (object/ concept)	/ˈkosa/
hijo	son	/ˈixo/
allí	there (away from the speaker and the listener)	/aˈʝi/
menos	less	/ˈmenos/
tipo	kind/ type/ sort/ manner	/ˈtipo/
amigo	friend	/aˈmiɡo/
gran	big/ large	/ˈɡɾande/
nuestro	ours	/ˈnwestɾo/
mujer	woman	/muˈxeɾ/
mamá	mum/ mom	/maˈma/
luego	then (afterward)	/ˈlweɡo/
papá	mum/ mom	/maˈma/
días	day (any period of 24 hours)	/ˈdia/
dice	third-person singular present indicative of decir	/ˈdiθe/
hoy	today	/ˈoi/
tres	three	/ˈtɾes/
buena	good	/ˈbweno/
necesito	to need	/neθesiˈtaɾ/
dije	to say/ to tell	/deˈθiɾ/
oye	to hear	/oˈiɾ/
gusta	translated as "to like"/ analyzable in structure as "to please"…	/ɡusˈtaɾ/
quería	to desire/ to want/ to want to	/keˈɾeɾ/
será	to be (essentially or identified as)	/ˈseɾ/
haber	have/ forms the perfect aspect	/aˈbeɾ/
parte	to divide/ split	/paɾˈtiɾ/
todas	all/ every	/ˈtodo/
crees	to create	/kɾeˈaɾ/
buen	apocopic form of bueno (“good/ fine”)	/ˈbwen/
conmigo	with me	/komˈmiɡo/
nombre	name	/ˈnombɾe/
mierda	shit (solid excretory product evacuated from the bowels/ feces.)	/ˈmjeɾda/
nuestra	ours	/ˈnwestɾo/
mal	badly/ poorly/ ill	/ˈmal/
debe	to owe	/deˈbeɾ/
realmente	really/ actually/ genuinely	/reˌalˈmente/
estas	alternative spelling of ése	/ˈese/
aún	still/ yet	/aˈun/
mío	mine/ of mine	/ˈmio/
toda	all/ every	/ˈtodo/
hacerlo	to do	/aˈθeɾ/
cada	each/ every	/ˈkada/
visto	to see/ to spot	/ˈbeɾ/
importa	to matter/ to be important [with a ‘someone’] (often translated…	/impoɾˈtaɾ/
contigo	with you (singular)	/konˈtiɡo/
tienen	to have/ to possess	/teˈneɾ/
hemos	alternative form of hacer	/ˈeɾ/
razón	reason	/raˈθon/
alguna	some/ any	/alˈɡuno/
tanto	so much/ as much/ that much	/ˈtanto/
saber	misspelling of sé	/se/
hizo	to do	/aˈθeɾ/
veces	time/ instance	/ˈbeθ/
serio	serious/ earnest/ sober/ solemn (without humor)	/ˈseɾjo/
ven	to see/ to spot	/ˈbeɾ/
idea	idea	/iˈdea/
eh	hey! (used to call/ draw attention/ warn or reprehend)	/ˈe/
tarde	late	/ˈtaɾde/
problema	problem/ issue/ challenge (a difficulty or obstacle that has to be…	/pɾoˈblema/
hora	hour (a time period of sixty minutes)	/ˈoɾa/
cierto	true	/ˈθjeɾto/
dicho	to say/ to tell	/deˈθiɾ/
quien	who	/ˈkjen/
demasiado	too much/ too many/ excessive	/demaˈsjado/
amor	a surname	/aˈmoɾ/
entre	to enter/ to come in/ to get in/ to go in/ to get inside/ to come…	/enˈtɾaɾ/
ve	to see/ to spot	/ˈbeɾ/
pasado	past	/paˈsado/
familia	family (group of people related to each other)	/faˈmilja/
estos	alternative spelling of ése	/ˈese/
policía	Civility/ polity/ public order/ police/ fineness/ neatness/ urbanity	/poliˈθia/
debería	to owe	/deˈbeɾ/
ustedes	second person formal/ you (singular)	/usˈted/
chica	female equivalent of chico: girl	/ˈt͡ʃika/
esos	that	/ˈese/
chicos	small	/ˈt͡ʃiko/
cuenta	count/ tally	/ˈkwenta/
haces	to do	/aˈθeɾ/
todavía	still/ yet	/todaˈbia/
salir	to go out/ to leave/ to depart/ to head out	/saˈliɾ/
algún	apocopic form of alguno/ some/ any	/alˈɡun/
vaya	to go (away from speaker and listener)	/ˈiɾ/
unos	an/ a	/un/
veo	to see/ to spot	/ˈbeɾ/
amigos	friend	/aˈmiɡo/
hermano	brother	/eɾˈmano/
pensé	to think/ ponder	/penˈsaɾ/
sabía	to know/ to understand (a fact)	/saˈbeɾ/
cabeza	head	/kaˈbeθa/
ah	ah (expression of relief/ realization/ awe)	/ˈa/
cariño	affection/ fondness	/kaˈɾiɲo/
digo	to say/ to tell	/deˈθiɾ/
van	van (vehicle)	/ˈban/
hombres	man/ (adult male human)	/ˈombɾe/
buenas	good	/ˈbweno/
somos	to be (essentially or identified as)	/ˈseɾ/
cualquier	apocopic form of cualquiera/ any/ whatever/ whichever	/kwalˈkjeɾ/
forma	shape/ form/ figure	/ˈfoɾma/
mientras	meanwhile	/ˈmjentɾas/
lado	side	/ˈlado/
debo	to owe	/deˈbeɾ/
sería	to be (essentially or identified as)	/ˈseɾ/
caso	case (situation or fact)	/ˈkaso/
pueden	to be able to/ can	/poˈdeɾ/
pasó	to pass/ to hand/ to slip	/paˈsaɾ/
primera	first gear (lowest gear in a motor vehicle)	/pɾiˈmeɾa/
genial	ingenious/ genius	/xeˈnjal/
chico	small	/ˈt͡ʃiko/
supuesto	to suppose/ to surmise/ to assume/ to guess/ to imagine/ to…	/supoˈneɾ/
hice	to do	/aˈθeɾ/
pues	so/ then/ in that case	/ˈpwes/
adiós	goodbye/ farewell	/aˈdjos/
muchas	feminine plural of mucho	/ˈmut͡ʃas/
personas	person (an individual/ usually a human being)	/peɾˈsona/
señora	mister/ sir/ lord (title conferred on a married or older male)	/seˈɲoɾ/
volver	to return/ to revert/ to get back	/bolˈbeɾ/
esas	that	/ˈese/
quizá	perhaps/ maybe	/kiˈθa/
contra	against/ versus	/kontɾa/
camino	to walk	/kamiˈnaɾ/
durante	during/ in/ over	/duˈɾante/
hablando	to talk/ to speak/ to communicate using words	/aˈblaɾ/
manera	way/ manner/ method/ style	/maˈneɾa/
muerto	to die	/moˈɾiɾ/
persona	person (an individual/ usually a human being)	/peɾˈsona/
rápido	rapid/ quick/ fast	/ˈrapido/
cuál	what/ which	/ˈkwal/
ayuda	to help	/aʝuˈdaɾ/
historia	history (the aggregate of past events)	/isˈtoɾja/
iba	to go (away from speaker and listener)	/ˈiɾ/
supongo	to suppose/ to surmise/ to assume/ to guess/ to imagine/ to…	/supoˈneɾ/
nueva	new	/ˈnwebo/
entiendo	to understand/ to fathom	/entenˈdeɾ/
dentro	inside (for space)	/ˈdentɾo/
casi	almost	/ˈkasi/
puerta	door (portal of entry into a building)	/ˈpweɾta/
ves	to see/ to spot	/ˈbeɾ/
pasar	to pass/ to hand/ to slip	/paˈsaɾ/
primero	apocopic form of primero (first)	/pɾiˈmeɾ/
significa	to signify	/siɡnifiˈkaɾ/
semana	week (7 days)	/seˈmana/
hacia	toward/ towards	/ˈaθja/
quizás	maybe/ perhaps	/kiˈθas/
espero	to hope	/espeˈɾaɾ/
juntos	together	/ˈxunto/
año	year	/ˈaɲo/
niños	child/ boy	/ˈniɲo/
pronto	prompt/ on time	/ˈpɾonto/
tío	uncle (the brother/ brother-in-law/ or male cousin or…	/ˈtio/
suerte	luck/ fortune	/ˈsweɾte/
ciudad	city	/θjuˈdad/
siquiera	at least/ at the least	/siˈkjeɾa/
feliz	happy/ merry (trait)	/feˈliθ/
venir	Senses relating to literal movement.	/beˈniɾ/
hija	son	/ˈixo/
gustaría	translated as "to like"/ analyzable in structure as "to please"…	/ɡusˈtaɾ/
minutos	minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour)	/miˈnuto/
cuánto	how much/ how many	/ˈkwanto/
os	you/ to you/ for you/ dative and accusative of vosotros	/os/
hey	hey!	/ˈei/
muerte	death (the cessation of life)	/ˈmweɾte/
dejar	to leave (to place)	/deˈxaɾ/
realidad	reality	/realiˈdad/
deja	to leave (to place)	/deˈxaɾ/
problemas	problem/ issue/ challenge (a difficulty or obstacle that has to be…	/pɾoˈblema/
vi	first-person singular preterite indicative of ver	/ˈbi/
da	to give/ to give out	/ˈdaɾ/
importante	important/ that cares/ that matters.	/impoɾˈtante/
dijiste	to say/ to tell	/deˈθiɾ/
corazón	heart (organ of the body)	/koɾaˈθon/
miedo	fear	/ˈmjedo/
jefe	chief/ president/ head/ leader of a business/ political party/ or…	/ˈxefe/
agua	water	/ˈaɡwa/
haré	to do	/aˈθeɾ/
justo	to joust	/xusˈtaɾ/
horas	hour (a time period of sixty minutes)	/ˈoɾa/
poder	to be able to/ can	/poˈdeɾ/
buenos	good	/ˈbweno/
esposa	wife	/esˈposa/
manos	hand	/ˈmano/
debes	to owe	/deˈbeɾ/
viene	Senses relating to literal movement.	/beˈniɾ/
venga	Senses relating to literal movement.	/beˈniɾ/
nuestros	ours	/ˈnwestɾo/
ojos	eye	/ˈoxo/
adelante	to bring forward/ advance/ to move forward (in space or time)	/adelanˈtaɾ/
encontrar	to meet	/enkonˈtɾaɾ/
mano	hand	/ˈmano/
cinco	five	/ˈθinko/
niño	child/ boy	/ˈniɲo/
ninguna	no/ none	/ninˈɡuno/
otros	masculine plural of otro	/ˈotɾos/
cara	dear (loved)	/ˈkaɾo/
cuidado	to look after/ take care of (e.g. a house/ a person)	/kwiˈdaɾ/
bajo	short (of little height)	/ˈbaxo/
cerca	close/ near/ around/ about/ nearly/ nigh (referring to quantity or…	/ˈθeɾka/
viejo	old (having existed for a long time)	/ˈbjexo/
déjame	to leave (to place)	/deˈxaɾ/
noches	night (the period between sunset and sunrise)	/ˈnot͡ʃe/
bastante	enough/ sufficient	/basˈtante/
fin	end	/ˈfin/
tomar	to take	/toˈmaɾ/
único	only/ single/ sole	/ˈuniko/
misma	same/ identical/ one and the same/ indicates that the two compared…	/ˈmismo/
escucha	to listen to/ to hear out	/eskuˈt͡ʃaɾ/
ningún	apocopic form of ninguno (“not any”)	/ninˈɡun/
suficiente	sufficient/ enough	/sufiˈθjente/
punto	point (specific spot/ location/ or place)	/ˈpunto/
cuándo	when	/ˈkwando/
sigue	to follow	/seˈɡiɾ/
haya	have/ forms the perfect aspect	/aˈbeɾ/
equipo	team	/eˈkipo/
grande	big/ large	/ˈɡɾande/
necesita	to need	/neθesiˈtaɾ/
llegar	to arrive/ get (to)	/ʝeˈɡaɾ/
incluso	enclosed/ included	/inˈkluso/
algunos	masculine plural of alguno	/alˈɡunos/
doctor	doctor (Ph.D.)	/doɡˈtoɾ/
difícil	difficult/ hard/ tough/ challenging/ rough/ tricky/ trying/…	/diˈfiθil/
aunque	though/ although/ even though/ albeit	/awnke/
hubiera	have/ forms the perfect aspect	/aˈbeɾ/
primer	apocopic form of primero (first)	/pɾiˈmeɾ/
coche	car/ automobile	/ˈkot͡ʃe/
hago	to do	/aˈθeɾ/
clase	lecture	/ˈklase/
cuatro	four	/ˈkwatɾo/
mas	mum/ mom	/mas/
dices	to say/ to tell	/deˈθiɾ/
pequeño	small/ little	/peˈkeɲo/
llama	flame	/ˈʝama/
toma	to take	/toˈmaɾ/
hiciste	to do	/aˈθeɾ/
allá	there/ over there/ thither/ yonder (in a direction away from the…	/aˈʝa/
última	final/ last	/ˈultimo/
arriba	above/ over	/aˈriba/
tierra	Earth (planet of the Solar System in which all of humanity resides)	/ˈtjera/
guerra	war/ warfare	/ˈɡera/
pensar	to think/ ponder	/penˈsaɾ/
pueda	to be able to/ can	/poˈdeɾ/
igual	equal/ same	/iˈɡwal/
loco	crazy/ insane/ mad/ nuts (asserting that something is out of place…	/ˈloko/
sangre	blood	/ˈsanɡɾe/
mujeres	woman	/muˈxeɾ/
vuelta	to return/ to revert/ to get back	/bolˈbeɾ/
fui	to go (away from speaker and listener)	/ˈiɾ/
trabajar	to work	/tɾabaˈxaɾ/
tenido	to have/ to possess	/teˈneɾ/
juego	play	/ˈxweɡo/
deberías	to owe	/deˈbeɾ/
cuerpo	body (the physical structure of a human or animal)	/ˈkweɾpo/
e	and	/i/
algunas	some/ any	/alˈɡuno/
entrar	to enter/ to come in/ to get in/ to go in/ to get inside/ to come…	/enˈtɾaɾ/
cree	to create	/kɾeˈaɾ/
podía	to be able to/ can	/poˈdeɾ/
debemos	to owe	/deˈbeɾ/
oportunidad	opportunity/ chance/ shot/ break/ occasion/ time (in both senses:…	/opoɾtuniˈdad/
teléfono	telephone (a telecommunication device used for two-way talking…	/teˈlefono/
necesitamos	to need	/neθesiˈtaɾ/
final	final (last/ ultimate)	/fiˈnal/
listo	clever/ smart (with ser)	/ˈlisto/
fiesta	party	/ˈfjesta/
muchos	much/ a lot of	/ˈmut͡ʃo/
estabas	to be (have a temporary or permanent location in space)	/esˈtaɾ/
quieren	to desire/ to want/ to want to	/keˈɾeɾ/
vete	to see/ to spot	/ˈbeɾ/
auto	car/ automobile	/ˈauto/
dar	to give/ to give out	/ˈdaɾ/
vivir	to live/ to be alive	/biˈbiɾ/
posible	possible	/poˈsible/
ok	OK	/ˌoˈkei/
hermana	brother	/eɾˈmano/
número	number (counting)	/ˈnumeɾo/
meses	month	/ˈmes/
exactamente	exactly	/eɡˌsaɡtaˈmente/
culpa	fault	/ˈkulpa/
abajo	down/ downwards	/aˈbaxo/
escuela	school (an institution dedicated to teaching and learning)	/esˈkwela/
ido	to go (away from speaker and listener)	/ˈiɾ/
fuerte	strong	/ˈfweɾte/
diciendo	to say/ to tell	/deˈθiɾ/
habla	to talk/ to speak/ to communicate using words	/aˈblaɾ/
esté	to be (have a temporary or permanent location in space)	/esˈtaɾ/
ello	he/ him/ masculine personal third person subject and disjunctive…	/ˈel/
pregunta	to ask	/pɾeɡunˈtaɾ/
chicas	female equivalent of chico: girl	/ˈt͡ʃika/
eran	to be (essentially or identified as)	/ˈseɾ/
unas	an/ a	/un/
pasando	to pass/ to hand/ to slip	/paˈsaɾ/
atrás	behind	/aˈtɾas/
malo	apocopic form of malo bad/ evil	/ˈmal/
capitán	captain (leader)	/kapiˈtan/
bebé	to drink	/beˈbeɾ/
segundo	second (after the first)	/seˈɡundo/
sabemos	to know/ to understand (a fact)	/saˈbeɾ/
mayor	comparative degree of grande: bigger	/maˈʝoɾ/
comida	to eat	/koˈmeɾ/
morir	to die	/moˈɾiɾ/
conozco	to know (a person or a place)/ to be familiar with/ to be…	/konoˈθeɾ/
dame	to give/ to give out	/ˈdaɾ/
fácil	easy/ facile/ simple (requiring little effort)	/ˈfaθil/
comer	to eat	/koˈmeɾ/
vino	wine (an alcoholic beverage made by fermenting grape juice/ with…	/ˈbino/
lista	clever/ smart (with ser)	/ˈlisto/
haga	to do	/aˈθeɾ/
necesitas	to need	/neθesiˈtaɾ/
hijos	son	/ˈixo/
probablemente	probably/ likely	/pɾoˌbableˈmente/
padres	father	/ˈpadɾe/
habitación	room (separate part of a building)	/abitaˈθjon/
creer	to believe	/kɾeˈeɾ/
pensando	to think/ ponder	/penˈsaɾ/
fueron	to go (away from speaker and listener)	/ˈiɾ/
dime	second-person singular imperative of decir combined with me	/ˈdime/
trata	to treat (to handle/ behave toward in a specific way)	/tɾaˈtaɾ/
buscando	to seek/ search for/ look for/ try to find/ to scour	/busˈkaɾ/
tuve	to have/ to possess	/teˈneɾ/
tampoco	neither/ nor/ also not	/tamˈpoko/
amo	to love/ have great affection for/ care about	/aˈmaɾ/
joven	young/ youthful	/ˈxoben/
podrías	to be able to/ can	/poˈdeɾ/
sola	sole/ one/ only/ single (unique)	/ˈsolo/
par	even (divisible by two)	/ˈpaɾ/
única	only/ single/ sole	/ˈuniko/
hacen	to do	/aˈθeɾ/
seguir	to follow	/seˈɡiɾ/
simplemente	simply	/ˌsimpleˈmente/
dicen	to say/ to tell	/deˈθiɾ/
medio	half (of or related to one of two equal divisions of a whole)	/ˈmedjo/
puta	whore/ slut/ prostitute	/ˈputa/
saben	to know/ to understand (a fact)	/saˈbeɾ/
sentido	to feel	/senˈtiɾ/
hagas	to do	/aˈθeɾ/
segura	secure/ safe (free from danger)	/seˈɡuɾo/
esperar	to hope	/espeˈɾaɾ/
lejos	far/ far away	/ˈlexos/
arma	weapon/ arm	/ˈaɾma/
alto	tall	/ˈalto/
pequeña	small/ little	/peˈkeɲo/
dólares	dollar (designation for specific currency)	/ˈdolaɾ/
seis	six	/ˈseis/
estaban	to be (have a temporary or permanent location in space)	/esˈtaɾ/
seguridad	safety/ security	/seɡuɾiˈdad/
maldita	cursed	/malˈdito/
estuvo	to be (have a temporary or permanent location in space)	/esˈtaɾ/
preocupes	to worry/ to concern/ to trouble/ to be worrisome to/ to preoccupy	/pɾeokuˈpaɾ/
palabra	word	/paˈlabɾa/
esperando	to hope	/espeˈɾaɾ/
queda	curfew	/ˈkeda/
oficina	office (a room used for non-manual work)	/ofiˈθina/
matar	to kill/ slay	/maˈtaɾ/
iré	to go (away from speaker and listener)	/ˈiɾ/
cama	bed	/ˈkama/
además	in addition/ moreover/ furthermore/ further/ also/ additionally	/adeˈmas/
último	final/ last	/ˈultimo/
oído	to hear	/oˈiɾ/
habría	have/ forms the perfect aspect	/aˈbeɾ/
estará	to be (have a temporary or permanent location in space)	/esˈtaɾ/
dio	to give/ to give out	/ˈdaɾ/
recuerdo	to remember/ to recollect	/rekoɾˈdaɾ/
siendo	to be (essentially or identified as)	/ˈseɾ/
acerca	to bring close	/aθeɾˈkaɾ/
tenga	to have/ to possess	/teˈneɾ/
luz	light	/ˈluθ/
correcto	correct/ right	/koˈreɡto/
demonios	demon/ devil	/deˈmonjo/
nuestras	ours	/ˈnwestɾo/
verte	to see/ to spot	/ˈbeɾ/
dormir	to sleep	/doɾˈmiɾ/
sitio	site/ place	/ˈsitjo/
ayudar	to help	/aʝuˈdaɾ/
conseguir	to achieve/ succeed in/ reach/ accomplish/ attain	/konseˈɡiɾ/
di	to give/ to give out	/ˈdaɾ/
marido	husband	/maˈɾido/
paz	peace (warlessness)	/ˈpaθ/
idiota	idiotic	/iˈdjota/
plan	plan	/ˈplan/
dado	to give/ to give out	/ˈdaɾ/
cuanto	whatever quantity/ as much/ however much	/ˈkwanto/
peor	badly/ poorly/ ill	/ˈmal/
murió	to die	/moˈɾiɾ/
pueblo	town/ village	/ˈpweblo/
vivo	to applaud	/biˈbaɾ/
venido	Senses relating to literal movement.	/beˈniɾ/
john
basta	stop!/ enough!	/ˈbasta/
paso	step/ footstep	/ˈpaso/
deberíamos	to owe	/deˈbeɾ/
música	music	/ˈmusika/
diga	way to say hello on the telephone	/ˈdiɡa/
minuto	minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour)	/miˈnuto/
anoche	last night	/aˈnot͡ʃe/
llamar	to summon/ to call	/ʝaˈmaɾ/
piensa	to think/ ponder	/penˈsaɾ/
país	country (the territory of a nation)	/paˈis/
digas	to say/ to tell	/deˈθiɾ/
rey	king	/ˈrei/
perdón	sorry/ pardon me (excuse me)	/peɾˈdon/
mucha	feminine singular of mucho	/ˈmut͡ʃa/
falta	to be lacking/ to lack/ to not have (of a quality or circumstance)	/falˈtaɾ/
pienso	to think/ ponder	/penˈsaɾ/
diablos	devil	/ˈdjablo/
perdido	to lose	/peɾˈdeɾ/
niña	child/ boy	/ˈniɲo/
señorita	young woman	/seɲoˈɾita/
diez	ten	/ˈdjeθ/
lleva	to take somewhere (most of the time away from the speaker)	/ʝeˈbaɾ/
hospital	hospital	/ospiˈtal/
grandes	big/ large	/ˈɡɾande/
maldito	cursed	/malˈdito/
otras	other/ another	/ˈotɾo/
llamado	to summon/ to call	/ʝaˈmaɾ/
hacemos	to do	/aˈθeɾ/
llevar	to take somewhere (most of the time away from the speaker)	/ʝeˈbaɾ/
fuego	fire	/ˈfweɡo/
aqui	here (in the speaker's location)	/aˈki/
tuvo	to have/ to possess	/teˈneɾ/
poner	to put/ to put up/ to place/ to lay	/poˈneɾ/
calle	street	/ˈkaʝe/
