you	The pronoun of the second person/ in the nominative/ dative/ and…	/jˈu/
good	1. Possessing desirable qualities/ adapted to answer the end…	/ɡˈʊd/
who	1. Originally/ an interrogative pronoun/ later/ a relative pronoun…	/hˈu/
why	1. For what cause/ reason/ or purpose/ on what account/ wherefore/…	/wˈaɪ/
from	Out of the neighborhood of/ lessening or losing proximity to/…	/frˈʌm/
let	To retard/ to hinder/ to impede/ to oppose. [Archaic] He was so…	/lˈɛt/
his	1. Belonging or pertaining to him/ -- used as a pronominal…	/hˈɪz/
yes	Ay/ yea/ -- a word which expresses affirmation or consent/ --…	/jˈɛs/
when	1. At what time/ -- used interrogatively. When shall these things…	/wˈɛn/
going	1. The act of moving in any manner/ traveling/ as/ the going is…	/ɡˈoʊɪŋ/
time	1. Duration/ considered independently of any system of measurement…	/tˈaɪm/
an	This word is properly an adjective/ but is commonly called the…	/ˈæn/
okay		/ˌoʊkˈeɪ/
back	1. A large shallow vat/ a cistern/ tub/ or trough/ used by…	/bˈæk/
look	1. To direct the eyes for the purpose of seeing something/ to…	/lˈʊk/
us	The persons speaking/ regarded as an object/ ourselves/ -- the…	/ˈʌs/
would	Commonly used as an auxiliary verb/ either in the past tense or in…	/wˈʊd/
them	The objective case of they. See They. Go ye rather to them that…	/ðˈɛm/
where	Whether. [Sometimes written whe'r.] [Obs.] Piers Plowman. Men must…	/wˈɛr/
were	To wear. See 3d Wear. [Obs.] Chaucer.	/wˈɝ/
take	Taken. Chaucer.	/tˈeɪk/
then	1. At that time (referring to a time specified/ either past or…	/ðˈɛn/
had	See Have. Had as lief/ Had rather/ Had better/ Had as soon/ etc./…	/hˈæd/
or	A particle that marks an alternative/ as/ you may read or may…	/ˈɔr/
been	The past participle of Be. In old authors it is also the pr. tense…	/bˈɪn/
our	Of or pertaining to us/ belonging to us/ as/ our country/ our…	/ˈaʊɚ/
gonna		/ɡˈɑnə/
tell	1. To mention one by one/ or piece by piece/ to recount/ to…	/tˈɛl/
really	Royally. [Obs.] Chaucer.	/rˈɪli/
man	1. A human being/ -- opposed tobeast. These men went about wide/…	/mˈæn/
some	1. Consisting of a greater or less portion or sum/ composed of a…	/sˈʌm/
say	Saw. Chaucer.	/sˈeɪ/
hey	High. [Obs.] Chaucer.	/hˈeɪ/
could	Was/ should be/ or would be/ able/ capable/ or susceptible. Used…	/kˈʊd/
didn
by	1. In the neighborhood of/ near or next to/ not far from/ close…	/bˈaɪ/
need	1. A state that requires supply or relief/ pressing occasion for…	/nˈid/
something	1. Anything unknown/ undetermined/ or not specifically designated/…	/sˈʌmθɪŋ/
has	3d pers. sing. pres. of Have.	/hˈæz/
too	1. Over/ more than enough/ -- noting excess/ as/ a thing is too…	/tˈu/
more	A hill. [Prov. Eng.] Halliwell.	/mˈɔr/
way	Away. [Obs. or Archaic] Chaucer. To do way/ to take away/ to…	/wˈeɪ/
down	1. Fine/ soft/ hairy outgrowth from the skin or surface of animals…	/dˈaʊn/
make	A companion/ a mate/ often/ a husband or a wife. [Obs.] For in…	/mˈeɪk/
very	True/ real/ actual/ veritable. Whether thou be my very son Esau or…	/vˈɛri/
never	1. Not ever/ not at any time/ at no time/ whether past/ present/…	/nˈɛvɚ/
only	1. One alone/ single/ as/ the only man present/ his only…	/ˈoʊnli/
people	1. The body of persons who compose a community/ tribe/ nation/ or…	/pˈipəl/
over	1. Above/ or higher than/ in place or position/ with the idea of…	/ˈoʊvɚ/
because	1. By or for the cause that/ on this account that/ for the reason…	/bɪkˈɔz/
little	1. Small in size or extent/ not big/ diminutive/ -- opposed to big…	/lˈɪtəl/
please	1. To give pleasure to/ to excite agreeable sensations or emotions…	/plˈiz/
love	1. A feeling of strong attachment induced by that which delights…	/lˈʌv/
should	Used as an auxiliary verb/ to express a conditional or contingent…	/ʃˈʊd/
mean	1. To have in the mind/ as a purpose/ intention/ etc./ to intend/…	/mˈin/
said	imp. & p. p. of Say.	/sˈɛd/
sorry	1. Grieved for the loss of some good/ pained for some evil/…	/sˈɑri/
give	1. To bestow without receiving a return/ to confer without…	/ɡˈɪv/
off	In a general sense/ denoting from or away from/ as: 1. Denoting…	/ˈɔf/
am	The first person singular of the verb be/ in the indicative mode/…	/ˈæm/
thank	A expression of gratitude/ an acknowledgment expressive of a sense…	/θˈæŋk/
any	1. One indifferently/ out of an indefinite number/ one…	/ˈɛni/
two	One and one/ twice one. "Two great lights." Gen. i. 16. "Two black…	/tˈu/
even	Evening. See Eve/ n. 1. [Poetic.] Shak.	/ˈivɪn/
much	1. Great in quantity/ long in duration/ as/ much rain has fallen/…	/mˈʌtʃ/
doing	Anything done/ a deed/ an action good or bad/ hence/ in the…	/dˈuɪŋ/
sure	1. Certainly knowing and believing/ confident beyond doubt/…	/ʃˈʊr/
thing	1. Whatever exists/ or is conceived to exist/ as a separate…	/θˈɪŋ/
these	The plural of this. See This.	/ðˈiz/
help	1. To furnish with strength or means for the successful…	/hˈɛlp/
first	1. Preceding all others of a series or kind/ the ordinal of one/…	/fˈɝst/
into	To the inside of/ within. It is used in a variety of applications.…	/ˈɪntu/
anything	1. Any object/ act/ state/ event/ or fact whatever/ thing of any…	/ˈɛniθˌɪŋ/
still	1. Motionless/ at rest/ quiet/ as/ to stand still/ to lie or sit…	/stˈɪl/
find	1. To meet with/ or light upon/ accidentally/ to gain the first…	/fˈaɪnd/
life	1. The state of being which begins with generation/ birth/ or…	/lˈaɪf/
nothing	1. Not anything/ no thing (in the widest sense of the word thing)/…	/nˈʌθɪŋ/
sir	1. A man of social authority and dignity/ a lord/ a master/ a…	/sˈɝ/
day	1. The time of light/ or interval between one night and the next/…	/dˈeɪ/
god	Good. [Obs.] Chaucer.	/ɡˈɑd/
work	1. Exertion of strength or faculties/ physical or intellectual…	/wˈɝk/
their	The possessive case of the personal pronoun they/ as/ their…	/ðˈɛr/
uh		/ˈʌ/
again	1. In return/ back/ as/ bring us word again. 2. Another time/ once…	/əɡˈɛn/
maybe	Perhaps/ possibly/ peradventure. Maybe the amorous count solicits…	/mˈeɪbi/
must	1. To be obliged/ to be necessitated/ -- expressing either…	/mˈʌst/
before	1. In front of/ preceding in space/ ahead of/ as/ to stand before…	/bɪfˈɔr/
other	Either/ -- used with other or or for its correlative (as either .…	/ˈʌðɚ/
wait	1. To watch/ to observe/ to take notice. [Obs.] "But [unless] ye…	/wˈeɪt/
stop	1. To close/ as an aperture/ by filling or by obstructing/ as/ to…	/stˈɑp/
call	1. To command or request to come or be present/ to summon/ as/ to…	/kˈɔl/
after	1. Next/ later in time/ subsequent/ succeeding/ as/ an after…	/ˈæftɚ/
won	imp. & p. p. of Win.	/wˈʌn/
talk	1. To utter words/ esp./ to converse familiarly/ to speak/ as in…	/tˈɔk/
away	1. From a place/ hence. The sound is going away. Shak. Have me…	/əwˈeɪ/
than	A particle expressing comparison/ used after certain adjectives…	/ðˈæn/
thought	imp. & p. p. of Think.	/θˈɔt/
home	See Homelyn.	/hˈoʊm/
night	1. That part of the natural day when the sun is beneath the…	/nˈaɪt/
put	A pit. [Obs.] Chaucer.	/pˈʊt/
great	1. Large in space/ of much size/ big/ immense/ enormous/ expanded/…	/ɡrˈeɪt/
those	The plural of that. See That.	/ðˈoʊz/
last	of Last/ to endure/ contracted from lasteth. [Obs.] Chaucer.	/lˈæst/
better	1. Having good qualities in a greater degree than another/ as/ a…	/bˈɛtɚ/
everything	Whatever pertains to the subject under consideration/ all things.…	/ˈɛvriθˌɪŋ/
told	imp. & p. p. of Tell.	/tˈoʊld/
new	1. Having existed/ or having been made/ but a short time/ having…	/nˈu/
things	1. Whatever exists/ or is conceived to exist/ as a separate…	/θˈɪŋz/
always	1. At all times/ ever/ perpetually/ throughout all time/…	/ˈɔlwˌeɪz/
keep	1. To care/ to desire. [Obs.] I kepe not of armes for to yelp…	/kˈip/
long	1. Drawn out in a line/ or in the direction of length/ protracted/…	/lˈɔŋ/
years	1. The time of the apparent revolution of the sun trough the…	/jˈɪrz/
leave	To send out leaves/ to leaf/ -- often with out. G. Fletcher.	/lˈiv/
does	The 3d pers. sing. pres. of Do.	/dˈʌz/
money	1. A piece of metal/ as gold/ silver/ copper/ etc./ coined/ or…	/mˈʌni/
around	1. In a circle/ circularly/ on every side/ round. 2. In a circuit/…	/ɚˈaʊnd/
doesn
name	1. The title by which any person or thing is known or designated/…	/nˈeɪm/
place	1. Any portion of space regarded as measured off or distinct from…	/plˈeɪs/
ever	1. At any time/ at any period or point of time. No man ever yet…	/ˈɛvɚ/
feel	1. To perceive by the touch/ to take cognizance of by means of the…	/fˈil/
guys	A rope/ chain/ or rod attached to anything to steady it/ as: a…	/ɡˈaɪz/
father	1. One who has begotten a child/ whether son or daughter/ a…	/fˈɑðɚ/
guy	A rope/ chain/ or rod attached to anything to steady it/ as: a…	/ɡˈaɪ/
made	See Mad/ n.	/mˈeɪd/
old	Open country. [Obs.] See World. Shak.	/ˈoʊld/
isn
which	1. Of what sort or kind/ what/ what a/ who. [Obs.] And which they…	/wˈɪtʃ/
big	1. Having largeness of size/ of much bulk or magnitude/ of great…	/bˈɪɡ/
lot	1. That which happens without human design or forethought/ chance/…	/lˈɑt/
done	p. p. from Do/ and formerly the infinitive. 1. Performed/…	/dˈʌn/
hello	See Halloo.	/həlˈoʊ/
nice	1. Foolish/ silly/ simple/ ignorant/ also/ weak/ effeminate.…	/nˈaɪs/
believe	To exercise belief in/ to credit upon the authority or testimony…	/bɪlˈiv/
girl	1. A young person of either sex/ a child. [Obs.] Chaucer. 2. A…	/ɡˈɝl/
someone		/sˈʌmwˌʌn/
fine	1. Finished/ brought to perfection/ refined/ hence/ free from…	/fˈaɪn/
thanks	A expression of gratitude/ an acknowledgment expressive of a sense…	/θˈæŋks/
wanted	1. The state of not having/ the condition of being without…	/wˈɔntɪd/
kind	1. Characteristic of the species/ belonging to one's nature/…	/kˈaɪnd/
coming	1. Approaching/ of the future/ especially the near future/ the…	/kˈʌmɪŋ/
house	1. A structure intended or used as a habitation or shelter for…	/hˈaʊs/
every	1. All the parts which compose a whole collection or aggregate…	/ˈɛvɚi/
ok		/ˈoʊkˈeɪ/
through	1. From end to end of/ or from side to side of/ from one surface…	/θrˈu/
being	Existing. Note: Being was formerly used where we now use having.…	/bˈiɪŋ/
course	1. The act of moving from one point to another/ progress/ passage.…	/kˈɔrs/
stay	A large/ strong rope/ employed to support a mast/ by being…	/stˈeɪ/
left	of Leave.	/lˈɛft/
dad	Father/ -- a word sometimes used by children. I was never so…	/dˈæd/
enough	Satisfying desire/ giving content/ adequate to meet the want/…	/ɪnˈʌf/
happened	1. To come by chance/ to come without previous expectation/ to…	/hˈæpənd/
came	imp. of Come.	/kˈeɪm/
may	An auxiliary verb qualifyng the meaning of another verb/ by…	/mˈeɪ/
mother	1. A female parent/ especially/ one of the human race/ a woman who…	/mˈʌðɚ/
wrong	imp. of Wring. Wrung. Chaucer.	/rˈɔŋ/
world	1. The earth and the surrounding heavens/ the creation/ the system…	/wˈɝld/
bad	of Bid. Bade. [Obs.] Dryden.	/bˈæd/
might	imp. of May. Etym: [AS. meahte/ mihte.]	/mˈaɪt/
three	One more than two/ two and one. "I offer thee three things." 2…	/θrˈi/
today		/tədˈeɪ/
listen	1. To give close attention with the purpose of hearing/ to give…	/lˈɪsən/
another	1. One more/ in addition to a former number/ a second or…	/ənˈʌðɚ/
understand	1. To have just and adequate ideas of/ to apprehended the meaning…	/ˌʌndɚstˈænd/
hear	1. To perceive by the ear/ to apprehend or take cognizance of by…	/hˈir/
remember	1. To have ( a notion or idea) come into the mind again/ as…	/rɪmˈɛmbɚ/
ask	1. To request/ to seek to obtain by words/ to petition/ to…	/ˈæsk/
own	To grant/ to acknowledge/ to admit to be true/ to confess/ to…	/ˈoʊn/
same	1. Not different or other/ not another or others/ identical/…	/sˈeɪm/
show	1. To exhibit or present to view/ to place in sight/ to display/…	/ʃˈoʊ/
else	Other/ one or something beside/ as/ Who else is coming What else…	/ˈɛls/
kill	A kiln. [Obs.] Fuller.	/kˈɪl/
talking	1. That talks/ able to utter words/ as/ a talking parrot. 2. Given…	/tˈɔkɪŋ/
found	imp. & p. p. of Find.	/fˈaʊnd/
next	1. Nearest in place/ having no similar object intervening.…	/nˈɛkst/
getting	1. The act of obtaining or acquiring/ acquisition. With all thy…	/ɡˈɛtɪŋ/
care	1. A burdensome sense of responsibility/ trouble caused by onerous…	/kˈɛr/
car	1. A small vehicle moved on wheels/ usually/ one having but two…	/kˈɑr/
looking	Having a certain look or appearance/ -- often compounded with…	/lˈʊkɪŋ/
son	1. A male child/ the male issue/ or offspring/ of a parent/ father…	/sˈʌn/
try	1. To divide or separate/ as one sort from another/ to winnow/ to…	/trˈaɪ/
woman	1. An adult female person/ a grown-up female person/ as…	/wˈʊmən/
went	imp. & p. p. of Wend/ -- now obsolete except as the imperfect of…	/wˈɛnt/
hi		/hˈaɪ/
dead	1. Deprived of life/ -- opposed to alive and living/ reduced to…	/dˈɛd/
many	A retinue of servants/ a household. [Obs.] Chaucer.	/mˈɛni/
mind	1. The intellectual or rational faculty in man/ the understanding/…	/mˈaɪnd/
wasn
friend	1. One who entertains for another suo Want gives to know the…	/frˈɛnd/
best	1. Having good qualities in the highest degree/ most good/ kind/…	/bˈɛst/
mom		/mˈɑm/
hell	1. The place of the dead/ or of souls after death/ the grave/ --…	/hˈɛl/
morning	Pertaining to the first part or early part of the day/ being in…	/mˈɔrnɪŋ/
trying	Adapted to try/ or put to severe trial/ severe/ afflictive/ as/ a…	/trˈaɪɪŋ/
boy	A male child/ from birth to the age of puberty/ a lad/ hence/ a…	/bˈɔɪ/
together	1. In company or association with respect to place or time/ as/ to…	/təɡˈɛðɚ/
yourself	An emphasized or reflexive form of the pronoun of the second…	/jɚsˈɛlf/
job	1. A sudden thrust or stab/ a jab. 2. A piece of chance or…	/dʒˈɑb/
saw	imp. of See.	/sˈɔ/
family	1. The collective body of persons who live in one house/ and under…	/fˈæməli/
real	A small Spanish silver coin/ also/ a denomination of money of…	/rˈil/
without	1. On or at the outside of/ out of/ not within/ as/ without doors.…	/wɪθˈaʊt/
baby	An infant or young child of either sex/ a babe. 2. A small image…	/bˈeɪbi/
room	1. Unobstructed spase/ space which may be occupied by or devoted…	/rˈum/
wouldn
already	Prior to some specified time/ either past/ present/ or future/ by…	/ɔlrˈɛdi/
move	1. To cause to change place or posture in any manner/ to set in…	/mˈuv/
most	1. Consisting of the greatest number or quantity/ greater in…	/mˈoʊst/
seen	of See.	/sˈin/
live	1. To be alive/ to have life/ to have/ as an animal or a plant/…	/lˈaɪv/
miss	1. A title of courtesy prefixed to the name of a girl or a woman…	/mˈɪs/
actually	1. Actively. [Obs.] "Neither actually . . . nor passively."…	/ˈæktʃˌuəli/
huh		/hˈʌ/
shit		/ʃˈɪt/
both	The one and the other/ the two/ the pair/ without exception of…	/bˈoʊθ/
heard	imp. & p. p. of Hear.	/hˈɝd/
once	The ounce.	/wˈʌns/
ready	1. Prepared for what one is about to do or experience/ equipped or…	/rˈɛdi/
head	1. The anterior or superior part of an animal/ containing the…	/hˈɛd/
called	1. To command or request to come or be present/ to summon/ as/ to…	/kˈɔld/
used	The persons speaking/ regarded as an object/ ourselves/ -- the…	/jˈuzd/
idea	1. The transcript/ image/ or picture of a visible object/ that is…	/aɪdˈiə/
knew	of Know.	/nˈu/
hold	The whole interior portion of a vessel below the lower deck/ in…	/hˈoʊld/
happy	1. Favored by hap/ luck/ or fortune/ lucky/ fortunate/ successful/…	/hˈæpi/
door	1. An opening in the wall of a house or of an apartment/ by which…	/dˈɔr/
such	1. Of that kind/ of the like kind/ like/ resembling/ similar/ as/…	/sˈʌtʃ/
fuck		/fˈʌk/
brother	1. A male person who has the same father and mother with another…	/brˈʌðɚ/
also	1. In like manner/ likewise. [Obs.] 2. In addition/ besides/ as…	/ˈɔlsoʊ/
pretty	1. Pleasing by delicacy or grace/ attracting/ but not striking or…	/prˈɪti/
bit	1. The part of a bridle/ usually of iron/ which is inserted in the…	/bˈɪt/
took	imp. of Take.	/tˈʊk/
haven	1. A bay/ recess/ or inlet of the sea/ or the mouth of a river/…	/hˈeɪvən/
yet	Any one of several species of large marine gastropods belonging to…	/jˈɛt/
men	pl. of Man.	/mˈɛn/
whole	1. Containing the total amount/ number/ etc./ comprising all the…	/hˈoʊl/
start	1. To leap/ to jump. [Obs.] 2. To move suddenly/ as with a spring…	/stˈɑrt/
use	1. The act of employing anything/ or of applying it to one's…	/jˈus/
while	1. Space of time/ or continued duration/ esp. when short/ a time/…	/wˈaɪl/
since	1. From a definite past time until now/ as/ he went a month ago/…	/sˈɪns/
wife	1. A woman/ an adult female/ -- now used in literature only in…	/wˈaɪf/
days	1. The time of light/ or interval between one night and the next/…	/dˈeɪz/
guess	1. To form an opinion concerning/ without knowledge or means of…	/ɡˈɛs/
tomorrow	On the day after the present day/ on the next day/ on the morrow.…	/təmˈɑrˌoʊ/
matter	1. That of which anything is composed/ constituent substance/…	/mˈætɚ/
meet	1. To join/ or come in contact with/ esp./ to come in contact with…	/mˈit/
bring	1. To convey to the place where the speaker is or is to be/ to…	/brˈɪŋ/
tonight	1. On this present or coming night. 2. On the last night past.…	/tənˈaɪt/
everyone	Everybody/ -- commonly separated/ every one.	/ˈɛvriwˌʌn/
run	1. To move/ proceed/ advance/ pass/ go/ come/ etc./ swiftly/…	/rˈʌn/
wanna		/wˈɑnə/
hard	1. Not easily penetrated/ cut/ or separated into parts/ not…	/hˈɑrd/
ah	An exclamation/ expressive of surprise/ pity/ complaint/ entreaty/…	/ˈɑ/
alone	1. Quite by one's self/ apart from/ or exclusive of/ others/…	/əlˈoʊn/
myself	I or me in person/ -- used for emphasis/ my own self or person/ as…	/mˌaɪsˈɛlf/
school	A shoal/ a multitude/ as/ a school of fish.	/skˈul/
gone	p. p. of Go.	/ɡˈɔn/
um		/ˈʌm/
end	1. The extreme or last point or part of any material thing…	/ˈɛnd/
saying	That which is said/ a declaration/ a statement/ especially a…	/sˈeɪɪŋ/
phone	Colloq. for Telephone.	/fˈoʊn/
play	1. To engage in sport or lively recreation/ to exercise for the…	/plˈeɪ/
looks	1. To direct the eyes for the purpose of seeing something/ to…	/lˈʊks/
couldn
fucking		/fˈʌkɪŋ/
problem	1. A question proposed for solution/ a matter stated for…	/prˈɑbləm/
few	Not many/ small/ limited/ or confined in number/ -- indicating a…	/fjˈu/
friends	1. One who entertains for another suo Want gives to know the…	/frˈɛndz/
gotta		/ɡˈɑtə/
ago	Past/ gone by/ since/ as/ ten years ago/ gone long ago.	/əɡˈoʊ/
open	1. Free of access/ not shut up/ not closed/ affording unobstructed…	/ˈoʊpən/
anyone	One taken at random rather than by selection/ anybody. Note:…	/ˈɛniwˌʌn/
killed	A kiln. [Obs.] Fuller.	/kˈɪld/
hope	1. A sloping plain between mountain ridges. [Obs.] 2. A small bay/…	/hˈoʊp/
face	1. The exterior form or appearance of anything/ that part which…	/fˈeɪs/
until	1. To/ unto/ towards/ -- used of material objects. Chaucer.…	/əntˈɪl/
lost	1. Parted with unwillingly or unintentionally/ not to be found/…	/lˈɔst/
police	1. A judicial and executive system/ for the government of a city/…	/pəlˈis/
excuse	1. To free from accusation/ or the imputation of fault or blame/…	/ɪkskjˈus/
turn	1. To cause to move upon a center/ or as if upon a center/ to give…	/tˈɝn/
business	1. That which busies one/ or that which engages the time/…	/bˈɪznəs/
case	1. A box/ sheath/ or covering/ as/ a case for holding goods/ a…	/kˈeɪs/
wants	1. The state of not having/ the condition of being without…	/wˈɑnts/
says	Saw. Chaucer.	/sˈɛz/
true	1. Conformable to fact/ in accordance with the actual state of…	/trˈu/
die	1. To pass from an animate to a lifeless state/ to cease to live/…	/dˈaɪ/
heart	1. (Anat.) A hollow/ muscular organ/ which/ by contracting…	/hˈɑrt/
soon	1. In a short time/ shortly after any time specified or supposed/…	/sˈun/
each	1. Every one of the two or more individuals composing a number of…	/ˈitʃ/
worry	1. To harass by pursuit and barking/ to attack repeatedly/ also/…	/wˈɝi/
later	A brick or tile. Knight.	/lˈeɪtɚ/
year	1. The time of the apparent revolution of the sun trough the…	/jˈɪr/
watch	1. The act of watching/ forbearance of sleep/ vigil/ wakeful/…	/wˈɑtʃ/
music	1. The science and the art of tones/ or musical sounds/ i.e./…	/mjˈuzɪk/
hand	1. That part of the fore limb below the forearm or wrist in man…	/hˈænd/
having	Possession/ goods/ estate. I 'll lend you something/ my having is…	/hˈævɪŋ/
probably	In a probable manner/ in likelihood. Distinguish between what may…	/prˈɑbəblˌi/
beautiful	Having the qualities which constitute beauty/ pleasing to the…	/bjˈutəfəl/
doctor	1. A teacher/ one skilled in a profession/ or branch of knowledge…	/dˈɑktɚ/
sit	obs. 3d pers. sing. pres. of Sit/ for sitteth.	/sˈɪt/
eat	1. To chew and swallow as food/ to devour/ -- said especially of…	/ˈit/
thinking	Having the faculty of thought/ cogitative/ capable of a regular…	/θˈɪŋkɪŋ/
young	1. Not long born/ still in the first part of life/ not yet arrived…	/jˈʌŋ/
second	1. Immediately following the first/ next to the first in order of…	/sˈɛkənd/
working	a & n. from Work. The word must cousin be to the working. Chaucer.…	/wˈɝkɪŋ/
water	1. The fluid which descends from the clouds in rain/ and which…	/wˈɔtɚ/
person	1. A character or part/ as in a play/ a specific kind or…	/pˈɝsən/
part	1. One of the portions/ equal or unequal/ into which anything is…	/pˈɑrt/
kids	1. (Zoöl.) A young goat. The . . . leopard shall lie down with the…	/kˈɪdz/
late	1. Coming after the time when due/ or after the usual or proper…	/lˈeɪt/
stuff	1. Material which is to be worked up in any process of…	/stˈʌf/
exactly	In an exact manner/ precisely according to a rule/ standard/ or…	/ɪɡzˈæktli/
under	1. Below or lower/ in place or position/ with the idea of being…	/ˈʌndɚ/
death	1. The cessation of all vital phenomena without capability of…	/dˈɛθ/
minute	1. The sixtieth part of an hour/ sixty seconds. (Abbrev. m./ as/ 4…	/mˈɪnət/
pay	To cover/ as bottom of a vessel/ a seam/ a spar/ etc./ with tar or…	/pˈeɪ/
crazy	1. Characterized by weakness or feeblness/ decrepit/ broken/…	/krˈeɪzi/
forget	1. To lose the remembrance of/ to let go from the memory/ to cease…	/fɚɡˈɛt/
everybody	Every person.	/ˈɛvribˌɑdi/
kid	1. (Zoöl.) A young goat. The . . . leopard shall lie down with the…	/kˈɪd/
change	1. To alter/ to make different/ to cause to pass from one state to…	/tʃˈeɪndʒ/
gave	imp. of Give.	/ɡˈeɪv/
happen	1. To come by chance/ to come without previous expectation/ to…	/hˈæpən/
damn	1. To condemn/ to declare guilty/ to doom/ to adjudge to…	/dˈæm/
five	Four and one added/ one more than four. Five nations (Ethnol.)/ a…	/fˈaɪv/
drink	1. To swallow anything liquid/ for quenching thirst or other…	/drˈɪŋk/
far	A young pig/ or a litter of pigs.	/fˈɑr/
knows	Knee. [Obs.] Chaucer.	/nˈoʊz/
its	Possessive form of the pronoun it. See It.	/ˈɪts/
whatever	Anything soever which/ the thing or things of any kind/ being this…	/wˌʌtˈɛvɚ/
eyes	An island. [Obs.]	/ˈaɪz/
shut	1. To close so as to hinder ingress or egress/ as/ to shut a door…	/ʃˈʌt/
aren		/ˈɑrən/
hit	It. [Obs.] Chaucer.	/hˈɪt/
taking	1. Apt to take/ alluring/ attracting. Subtile in making his…	/tˈeɪkɪŋ/
easy	1. At ease/ free from pain/ trouble/ or constraint/ as: (a) Free…	/ˈizi/
times	1. Duration/ considered independently of any system of measurement…	/tˈaɪmz/
