e	The fifth letter of the Italian alphabet/ called e and written in…	/ˈe/
bisogno	need	/biˈzoɲ.ɲo/
gia
amico	friend/ companion/ partner	/aˈmi.ko/
ed	and	/e/
posto	past participle of porre	/ˈpos.to/
nessuno	no/ any	/nesˈsu.no/
via	street/ path	/ˈvi.a/
fai	inflection of fare:	/ˈfa.i/
signore	female equivalent of signore	/siɲˈɲo.ra/
meglio	well/ nicely/ OK/ right	/ˈbɛ.ne/
cazzo	dick/ cock/ prick	/ˈkat.t͡so/
dai	contraction of da + i: from the	/ˈda/
dal	contraction of da + il/ from the
vuole	third-person singular present indicative of volere	/ˈvwɔ.le/
sembra	inflection of sembrare:	/ˈsem.bra/
giorno	day	/ˈd͡ʒor.no/
ogni	each/ every	/ˈoɲ.ɲi/
modo	manner/ way	/ˈmɔ.do/
senza	without	/ˈsɛn.t͡sa/
vedere	to see	/veˈde.re/
dobbiamo	first-person plural present indicative/subjunctive of dovere	/dobˈbja.mo/
signor	lord (ruler)	/siɲˈɲo.re/
qualche	few	/ˈkwal.ke/
dispiace	third-person singular present indicative of dispiacere	/disˈpja.t͡ʃe/
penso	first-person singular present indicative of pensare	/ˈpɛn.so/
ecco	used to call someone's attention to suddenly approaching or…	/ˈɛk.ko/
parlare	to talk/ to speak	/parˈla.re/
tra	between	/tra/
mamma	mom/mum	/ˈmam.ma/
già	already/ yet	/ˈd͡ʒa/
sarebbe	third-person singular conditional of essere	/saˈrɛb.be/
dalla	contraction of da + la/ literally “from the”	/ˈdal.la/
troppo	too much/ (in the plural) too many	/ˈtrɔp.po/
fosse	third-person singular imperfect subjunctive of essere	/ˈfos.se/
possiamo	first-person plural present indicative/present subjunctive of potere	/posˈsja.mo/
ce	The name of the Latin script letter C/c./ cee	/ˈt͡ʃi/
nuovo	new	/ˈnwɔ.vo/
male	badly/ wrongly	/ˈma.le/
madre	mother	/ˈma.dre/
avete	second-person plural present indicative of avere	/aˈve.te/
tanto	so much/ so many	/ˈtan.to/
favore	favour/favor	/faˈvo.re/
successo	success	/sutˈt͡ʃɛs.so/
vai	second-person singular imperative of andare	/ˈva/
sulla	plant of the genus Sulla/ particularly Sulla coronaria.
giusto	just/ right	/ˈd͡ʒus.to/
sa	third-person singular present indicative of sapere (“to know”)	/ˈsa/
miei	my/ of mine (used attributively)	/ˈmi.o/
aspetta	inflection of aspettare:
avere	to have	/aˈve.re/
altra	other/ another/ more/ further/ else	/ˈal.tro/
farlo	compound of the infinitive fare with lo	/ˈfar.lo/
alle	contraction of a le/ to the/ at the	/ˈal.le/
facendo	gerund of fare	/faˈt͡ʃɛn.do/
abbia	inflection of avere:	/ˈab.bja/
momento	moment	/moˈmen.to/
ero	first-person singular imperfect indicative of essere/ (I) was	/ˈɛ.ro/
aveva	third-person singular imperfect indicative of avere	/aˈve.va/
ragazzi	boy/ young man	/raˈɡat.t͡so/
deve	third-person singular present indicative of dovere	/ˈdɛ.ve/
persone	person/ pl people/ persons	/perˈso.na/
nostro	our	/ˈnɔs.tro/
tipo	standard/ model/ average/ stock	/ˈti.po/
prego	prayer	/ˈprɛ.ɡo/
grande	of greater physical dimensions or numerosity	/ˈɡran.de/
può	can/ could/ to be able to	/poˈte.re/
senti	inflection of sentire:	/ˈsɛn.ti/
appena	barely/ hardly	/apˈpe.na/
potrebbe	third-person singular conditional of potere	/poˈtrɛb.be/
soldi	penny/ cent	/ˈsɔl.do/
dice	third-person singular present indicative of dire	/ˈdi.t͡ʃe/
sapere	to know (information)	/saˈpe.re/
tre	three	/ˈtre/
oggi	today	/ˈɔd.d͡ʒi/
questi	this/ these	/ˈkwes.to/
piace	third-person singular present indicative of piacere	/ˈpja.t͡ʃe/
idea	idea	/iˈdɛ.a/
siete	second-person plural present indicative of essere	/ˈsje.te/
ai	contraction of a i/ to the/ at the	/ˈaj/
avevo	first-person singular imperfect indicative of avere	/aˈve.vo/
figlio	daughter	/ˈfiʎ.ʎa/
accordo	accord/ agreement/ bond	/akˈkɔr.do/
gente	noble	/ˈd͡ʒɛn.te/
sicuro	safe/ secure	/siˈku.ro/
vieni	inflection of venire:
degli	an/ a	/ˈu.no/
guarda	inflection of guardare:	/ˈɡwar.da/
dentro	inside/ indoors	/ˈden.tro/
trovato	past participle of trovare
queste	this/ these	/ˈkwes.to/
caso	chance/ fate	/ˈka.zo/
forza	force	/ˈfɔr.t͡sa/
tutte	all	/ˈtut.to/
pensi	inflection of pensare:
signora	female equivalent of signore	/siɲˈɲo.ra/
faccio	first-person singular present indicative of fare	/ˈfat.t͡ʃo/
nome	name	/ˈno.me/
avuto	past participle of avere	/aˈvu.to/
problema	problem	/proˈblɛ.ma/
altri	other/ another/ more/ further/ else	/ˈal.tro/
puo
aver	apocopic form of avere	/aˈver/
mondo	world	/ˈmon.do/
tutta	all	/ˈtut.to/
preso	busy/ taken up/ preoccupied (of person)	/ˈpre.zo/
nulla	feminine singular of nullo	/ˈnul.la/
nostra	our	/ˈnɔs.tro/
donna	Father (a title given to priests)	/ˈdɔn/
stare	to stay/ remain	/ˈsta.re/
basta	inflection of bastare:	/ˈbas.ta/
insieme	together	/inˈsjɛ.me/
faccia	face (of a person or an animal)	/ˈfat.t͡ʃa/
ragazza	girl/ young woman	/raˈɡat.t͡sa/
subito	at once/ immediately/ as soon as possible/ shortly	/ˈsu.bi.to/
famiglia	family	/faˈmiʎ.ʎa/
ragazzo	girl/ young woman	/raˈɡat.t͡sa/
volevo	first-person singular imperfect indicative of volere	/voˈle.vo/
okay	okay!
sentito	sincere	/senˈti.to/
ah	ah! (usually ironic or sarcastic)	/ˈa/
stesso	same/ equal	/ˈstes.so/
ragione	reason/ intellect	/raˈd͡ʒo.ne/
sarà	Used as a copula. to be	/ˈɛs.se.re/
tuoi	your (informal)	/ˈtu.o/
capito	past participle of capire	/kaˈpi.to/
notte	night	/ˈnɔt.te/
volte	time/ instance/ occasion	/ˈvɔl.ta/
testa	head	/ˈtɛs.ta/
serve	(female) slave	/ˈsɛr.va/
tesoro	valuable things/ treasure	/teˈzɔ.ro/
sotto	under/ beneath/ underneath	/ˈsot.to/
eh
suoi	his/ her/ its	/ˈsu.o/
vado	alternative form of guado	/ˈva.do/
sara	a female given name from Hebrew/ equivalent to English Sarah	/ˈsa.ra/
dato	past participle of dare	/ˈda.to/
stiamo	inflection of stare:	/ˈstja.mo/
bella	nice/ fair/ fine/ pleasant/ beautiful (of the weather/ etc.)	/ˈbɛl.lo/
scusa	apology/ excuse	/ˈsku.za/
erano	third-person plural imperfect indicative of essere	/ˈɛ.ra.no/
pensavo	first-person singular imperfect indicative of pensare	/penˈsa.vo/
avrei	first-person singular conditional of avere
prendere	to take/ hold/ pick up/ get	/ˈprɛn.de.re/
buona	good/ nice (in general)	/ˈbwɔ.no/
porta	past participle of porgere	/ˈpɔr.to/
bello	nice/ fair/ fine/ pleasant/ beautiful (of the weather/ etc.)	/ˈbɛl.lo/
moglie	wife	/ˈmoʎ.ʎe/
vorrei	first-person singular conditional of volere	/vorˈrɛj/
storia	history	/ˈstɔ.rja/
succede	third-person singular present indicative of succedere	/sutˈt͡ʃɛ.de/
morto	dead	/ˈmɔr.to/
cercando	gerund of cercare	/t͡ʃerˈkan.do/
dici	second-person singular present indicative of dire	/ˈdi.t͡ʃi/
persona	person/ pl people/ persons	/perˈso.na/
pronto	ready/ prepared	/ˈpron.to/
meno	less	/ˈme.no/
dovuto	past participle of dovere	/doˈvu.to/
avanti	previous/ prior/ last	/aˈvan.ti/
capisco	first-person singular present indicative of capire	/kaˈpis.ko/
secondo	second	/seˈkon.do/
venire	to come	/veˈni.re/
polizia	polity	/po.litˈt͡si.a/
lì	there/ in that place	/ˈli/
avrebbe	third-person singular conditional of avere	/aˈvrɛb.be/
stanno	third-person plural present indicative of stare	/ˈstan.no/
mentre	while/ as (during the same time that)	/ˈmen.tre/
letto	bed	/ˈlɛt.to/
fino	till/ until/ as far as	/ˈfi.no/
dico	first-person singular present indicative of dire	/ˈdi.ko/
amici	friend/ companion/ partner	/aˈmi.ko/
fine	thin	/ˈfi.ne/
aiuto	help/ assistance/ aid	/aˈju.to/
paura	fear	/paˈu.ra/
fratello	brother/ sibling	/fraˈtɛl.lo/
stavo	first-person singular imperfect indicative of stare	/ˈsta.vo/
uomini	person/ man (human being)	/ˈwɔ.mo/
domani	tomorrow	/doˈma.ni/
facciamo	inflection of fare:	/fatˈt͡ʃa.mo/
abbastanza	enough/ sufficiently	/ab.basˈtan.t͡sa/
capo	head	/ˈka.po/
amore	love	/aˈmo.re/
nei	contraction of in i/ in the	/nej/
ucciso	past participle of uccidere	/utˈt͡ʃi.zo/
state	alternative form of estate	/ˈsta.te/
piano	plane	/ˈpja.no/
macchina	machine	/ˈmak.ki.na/
trovare	to find	/troˈva.re/
comunque	anyhow/ in any case/ regardless	/koˈmun.kwe/
vediamo	inflection of vedere:	/veˈdja.mo/
giorni	day	/ˈd͡ʒor.no/
nemmeno	not even	/nemˈme.no/
mano	hand	/ˈma.no/
presto	ready	/ˈprɛs.to/
stati	alternative form of estate	/ˈsta.te/
merda	shit/ crap (all senses).	/ˈmɛr.da/
far	apocopic form of fare	/far/
bambino	child/ baby/ toddler/ tot (male or of unspecified gender)	/bamˈbi.no/
andato	past participle of andare	/anˈda.to/
vedo	first-person singular present indicative of vedere	/ˈve.do/
tornare	to return/ to come back	/torˈna.re/
quelle	that one/ those ones/ those	/ˈkwel.lo/
cio
primo	first	/ˈpri.mo/
vostro	your/ plural and polite forms	/ˈvɔs.tro/
neanche	not … either	/neˈan.ke/
sera	evening	/ˈse.ra/
giro	turn/ twist/ rotation/ revolution	/ˈd͡ʒi.ro/
morte	death	/ˈmɔr.te/
qua	here	/ˈkwa/
pensato	well thought-out or considered	/penˈsa.to/
buon	apocopic form of buono	/ˈbwɔn/
anno	year (all senses)	/ˈan.no/
mie	my/ of mine (used attributively)	/ˈmi.o/
diavolo	devil/ demon/ fiend/ Satan	/ˈdja.vo.lo/
quasi	almost/ nearly	/ˈkwa.zi/
piacere	(followed by a or preceded by an indirect object) to be pleasing…	/pjaˈt͡ʃe.re/
bel	preconsonantal masculine singular form of bello	/bɛl/
dovrei	first-person singular conditional of dovere
nessun	apocopic form of nessuno	/nesˈsun/
contro	against	/ˈkon.tro/
stessa	same/ equal	/ˈstes.so/
felice	happy (contented)	/feˈli.t͡ʃe/
colpa	fault	/ˈkol.pa/
punto	point (all senses)/ jot/ iota	/ˈpun.to/
andata	past participle of andare	/anˈda.to/
dovrebbe	third-person singular conditional of dovere
vedi	inflection of vedere:	/ˈve.di/
quale	what?	/ˈkwa.le/
chiesto	past participle of chiedere	/ˈkjɛs.to/
invece	instead/ but/ whereas/ on the contrary	/inˈve.t͡ʃe/
perchè	because/ why	/perˈke/
migliore	better	/miʎˈʎo.re/
nostri	our	/ˈnɔs.tro/
finito	finished	/fiˈni.to/
figlia	daughter	/ˈfiʎ.ʎa/
dovresti	second-person singular conditional of dovere	/doˈvres.ti/
papa	pope	/ˈpa.pa/
almeno	at least	/alˈme.no/
sento	first-person singular present indicative of sentire	/ˈsɛn.to/
quei	plural of quello	/ˈkwe.i/
col	contraction of con il/ with the
ore	plural of ora	/ˈo.re/
passato	past participle of passare	/pasˈsa.to/
magari	even	/maˈɡa.ri/
minuti	tiny/ minute/ emaciated/ thin	/miˈnu.to/
terra	ground	/ˈtɛr.ra/
vostra	your/ plural and polite forms	/ˈvɔs.tro/
strada	road/ way/ street	/ˈstra.da/
sola	alone/ by oneself/ unattended/ unaccompanied/ lonely/ lone/ lonesome	/ˈso.lo/
credi	creed	/ˈkre.do/
importante	important	/im.porˈtan.te/
sue	plural of sua	/ˈsu.e/
salve	safe/ out of danger/ saved/ secure from	/ˈsal.vo/
settimana	week	/set.tiˈma.na/
perso	past participle of perdere	/ˈpɛr.so/
uscire	to go out/ leave/ exit	/uʃˈʃi.re/
parlato	spoken	/parˈla.to/
papà	dad/ papa	/paˈpa/
stasera	this evening/ tonight	/staˈse.ra/
scusi	excuse me/ pardon me	/ˈsku.zi/
dollari	plural of dollaro	/ˈdɔl.la.ro/
occhi	eye	/ˈɔk.kjo/
mani	hand	/ˈma.no/
ultima	last	/ˈul.ti.mo/
possibile	possible	/posˈsi.bi.le/
scuola	school	/ˈskwɔ.la/
significa	inflection of significare:
sapevo	first-person singular imperfect indicative of sapere
nelle	contraction of in le/ in the	/ˈnel.le/
potrei	first-person singular conditional of potere
stava	third-person singular imperfect indicative of stare
bambini	child/ baby/ toddler/ tot (male or of unspecified gender)	/bamˈbi.no/
eri	second-person singular imperfect indicative of essere	/ˈɛ.ri/
importa	inflection of importare:	/imˈpɔr.ta/
indietro	back/ behind/ backwards	/inˈdjɛ.tro/
riesco	first-person singular present indicative of riuscire	/riˈɛs.ko/
sangue	blood (vital liquid)	/ˈsan.ɡwe/
chiama	roll call	/ˈkja.ma/
messo	messenger	/ˈmes.so/
piccolo	small	/ˈpik.ko.lo/
traduzione	translation	/tra.du(t)ˈt͡sjo.ne/
tardi	slow/ sluggard/ dull/ slow-witted/ dull-witted	/ˈtar.do/
cuore	heart	/ˈkwɔ.re/
marito	husband	/maˈri.to/
viene	third-person singular present indicative of venire	/ˈvjɛ.ne/
venuto	coming	/veˈnu.to/
ieri	yesterday	/ˈjɛ.ri/
spero	first-person singular present indicative of sperare	/ˈspɛ.ro/
ricordi	memory/ recollection/ remembrance	/riˈkɔr.do/
quelli	that one/ those ones/ those	/ˈkwel.lo/
dovremmo	first-person plural conditional of dovere
lasciato	past participle of lasciare	/laʃˈʃa.to/
ascolta	alternative form of scolta	/asˈkol.ta/
difficile	difficult/ hard	/difˈfi.t͡ʃi.le/
auto	clipping of automobile: car	/ˈa.u.to/
chiamato	past participle of chiamare
ciò	this	/ˈt͡ʃɔ/
altre	other/ another/ more/ further/ else	/ˈal.tro/
parlando	gerund of parlare	/parˈlan.do/
pensare	to think	/penˈsa.re/
fantastico	fantastic (of or pertaining to fantasy)	/fanˈtas.ti.ko/
fatta	feminine singular of fatto	/ˈfat.ta/
numero	number	/ˈnu.me.ro/
veramente	true	/ˈve.ro/
fanno	third-person plural present indicative of fare	/ˈfan.no/
serio	serious	/ˈsɛ.rjo/
possa	power/ strength/ vigour	/ˈpɔs.sa/
fossi	plural of fosso	/ˈfɔs.si/
entrare	to enter/ to go in	/enˈtra.re/
qualsiasi	any	/kwalˈsi.a.si/
pensa	inflection of pensare:
dicendo	gerund of dire	/diˈt͡ʃɛn.do/
acqua	water	/ˈak.kwa/
portato	second-hand/ used
stanza	room	/ˈstan.t͡sa/
problemi	problem	/proˈblɛ.ma/
forte	fort/ fortress	/ˈfɔr.te/
nessuna	no/ any	/nesˈsu.no/
lascia	inflection of lasciare:	/ˈlaʃ.ʃa/
amo	hook	/ˈa.mo/
roba	things/ stuff	/ˈrɔ.ba/
agente	agent	/aˈd͡ʒɛn.te/
dietro	behind/ at the back	/ˈdjɛ.tro/
corpo	body (the physical structure of a human or animal)	/ˈkɔr.po/
pare	archaic form of pari (“peer”)	/ˈpa.re/
sentire	to feel	/senˈti.re/
foto	photo/ snap	/ˈfɔ.to/
telefono	telephone/ phone	/teˈlɛ.fo.no/
voleva	third-person singular imperfect indicative of volere	/voˈle.va/
poco	little/ not much	/ˈpɔ.ko/
prendi	inflection of prendere:	/ˈprɛn.di/
piccola	small	/ˈpik.ko.lo/
vicino	near/ close	/viˈt͡ʃi.no/
sacco	sack/ bag	/ˈsak.ko/
stia	hutch/ coop (for small animals or birds)	/ˈsti.a/
capire	to understand	/kaˈpi.re/
potuto	past participle of potere	/poˈtu.to/
cinque	five	/ˈt͡ʃin.kwe/
strano	strange/ odd/ dodgy	/ˈstra.no/
tue	your (informal)	/ˈtu.o/
andando	gerund of andare	/anˈdan.do/
donne	woman	/ˈdɔn.na/
sappiamo	first-person plural present indicative of sapere	/sapˈpja.mo/
bravo	good/ well-behaved	/ˈbra.vo/
ragazze	girl/ young woman	/raˈɡat.t͡sa/
festa	feast	/ˈfɛs.ta/
senso	sense	/ˈsɛn.so/
genere	kind	/ˈd͡ʒɛ.ne.re/
quattro	four	/ˈkwat.tro/
dare	to give (to transfer the possession/holding of something to…	/ˈda.re/
attimo	moment/ instant/ second	/ˈat.ti.mo/
sorella	sister	/soˈrɛl.la/
pure	feminine plural of puro	/ˈpu.re/
probabilmente	probably/ likely/ possibly/ easily	/pro.ba.bilˈmen.te/
film	film/ movie	/ˈfilm/
parla	inflection of parlare:	/ˈpar.la/
ufficio	moral duty	/ufˈfi.t͡ʃo/
verso	verse	/ˈvɛr.so/
mesi	month	/ˈme.ze/
farti	compound of the infinitive fare with ti	/ˈfar.ti/
unica	only/ sole/ one/ single	/ˈu.ni.ko/
morire	death	/moˈri.re/
signorina	young lady	/siɲ.ɲoˈri.na/
vecchio	old/ outworn	/ˈvɛk.kjo/
domanda	question	/doˈman.da/
ben	apocopic form of bene	/ˈbɛn/
guerra	war/ warfare	/ˈɡwɛr.ra/
dottore	doctor	/dotˈto.re/
conosco	first-person singular present indicative of conoscere	/koˈnos.ko/
qual	what?	/ˈkwa.le/
vivere	to live/ to be alive	/ˈvi.ve.re/
vista	feminine singular of visto	/ˈvis.ta/
prova	trial/ test/ experiment	/ˈprɔ.va/
nuova	new	/ˈnwɔ.vo/
ricordo	memory/ recollection/ remembrance	/riˈkɔr.do/
divertente	funny/ amusing/ entertaining/ fun	/di.verˈtɛn.te/
avessi	first/second-person singular imperfect subjunctive of avere
sicura	safe/ secure	/siˈku.ro/
paio	pair	/ˈpa.jo/
conto	calculation	/ˈkon.to/
perdere	to lose	/ˈpɛr.de.re/
dimmi	compound of di'/ the second-person singular imperative form of…	/ˈdim.mi/
farmi	compound of the infinitive fare with mi	/ˈfar.mi/
figli	son	/ˈfiʎ.ʎo/
mezzo	half/ middle	/ˈmɛd.d͡zo/
lavorare	to work/ to labor	/la.voˈra.re/
unico	only/ sole/ one/ single	/ˈu.ni.ko/
esattamente	exactly/ precisely/ just	/e.zat.taˈmen.te/
squadra	set square/ triangle (tool)	/ˈskwa.dra/
esatto	exact/ correct/ right	/eˈzat.to/
possono	third-person plural present indicative of potere	/ˈpɔs.so.no/
fate	inflection of fare:	/ˈfa.te/
faro	lighthouse	/ˈfa.ro/
sapete	(you) know	/saˈpe.te/
dottor	apocopic form of Dottore/ used before a personal name
parola	word (distinct unit of language)	/paˈrɔ.la/
piedi	foot	/ˈpjɛ.de/
sopra	over	/ˈso.pra/
motivo	reason/ ground	/moˈti.vo/
avevi	second-person singular imperfect indicative of avere	/aˈve.vi/
cavolo	cabbage	/ˈka.vo.lo/
capitano	captain	/ka.piˈta.no/
finita	finished	/fiˈni.to/
volete	second-person plural present indicative of volere	/voˈle.te/
siano	inflection of essere:	/ˈsi.a.no/
potresti	second-person singular conditional of potere
gioco	game	/ˈd͡ʒɔ.ko/
perfetto	perfect	/perˈfɛt.to/
be	alternative form of bi	/ˈbe/
mente	mind	/ˈmen.te/
mangiare	to eat	/manˈd͡ʒa.re/
resto	rest/ remainder/ balance	/ˈrɛs.to/
credere	to believe	/ˈkre.de.re/
fortuna	luck	/forˈtu.na/
tratta	past participle of trarre	/ˈtrat.to/
chiamo	first-person singular present indicative of chiamare	/ˈkja.mo/
morta	dead	/ˈmɔr.to/
là	there	/ˈla/
entrambi	both	/enˈtram.bi/
avresti	second-person singular conditional of avere: you would have (informal)
passare	to pass (all senses)	/pasˈsa.re/
cena	dinner (evening meal)	/ˈt͡ʃe.na/
the	misspelling of tè
sarei	first-person singular conditional of essere	/saˈrɛj/
controllo	check/ control/ verification/ examination/ inspection	/konˈtrɔl.lo/
affari	affair/ matter	/afˈfa.re/
spiace	third-person singular present indicative of spiacere	/ˈspja.t͡ʃe/
ultimo	last	/ˈul.ti.mo/
facile	easy	/ˈfa.t͡ʃi.le/
farò	to do	/ˈfa.re/
buongiorno	good day	/ˌbwɔnˈd͡ʒor.no/
davanti	at the front/ in front	/daˈvan.ti/
tizio	man/ someone/ guy/ what's-his-name	/ˈtit.t͡sjo/
dammi	compound of da'/ the second-person singular imperative form of…
sicurezza	safety/ security	/si.kuˈret.t͡sa/
dalle	contraction of da le/ from the	/ˈdal.le/
quanti	how much/ how many/ however much/ however many	/ˈkwan.to/
dica	inflection of dire:	/ˈdi.ka/
matrimonio	marriage	/ma.triˈmɔ.njo/
john	a male given name and surname in English	/ˈd͡ʒɔn/
vogliono	third-person plural present indicative of volere	/ˈvɔʎ.ʎo.no/
molti	a lot of/ much/ great/ (in the plural) many/ a lot of/ lots of	/ˈmol.to/
culo	ass/ bottom/ buttocks/ butt/ anus	/ˈku.lo/
fuoco	fire	/ˈfwɔ.ko/
cercare	to look for	/t͡ʃerˈka.re/
pistola	pistol/ handgun	/pisˈtɔ.la/
potremmo	first-person plural conditional of potere
re	king (male monarch)	/ˈre/
mandato	mandate/ charge/ commission/ task	/manˈda.to/
puttana	whore/ slut/ hooker/ harlot/ tart (British)	/putˈta.na/
negli	contraction of in gli/ in the
cioe
inizio	beginning/ start/ inception	/iˈnit.t͡sjo/
saranno	third-person plural future of essere	/saˈran.no/
causa	cause	/ˈkaw.sa/
