في	in/ within	fī
عمل	to work/ perform	ʕamila
نوفمبر	November (eleventh month of the Gregorian calendar)	nūfimbir or nūfimbar
حلقة	ring/ loop	ḥalqa or ḥalaqa
التعليم	verbal noun of عَلَّمَ (ʕallama) (form II)	taʕlīm
داخل	to befall/ to seize/ to come over	dāḵala
هل	introduces a positive yes-no question	hal
عدم	to lack/ not to have	ʕadima
يا	O/ hey/ you/ vocative particle preceding a noun used in direct…	yā
صلى	to pray	ṣallā
الثانية	second (unit of time)	ṯāniya
المساعدة	verbal noun of سَاعَدَ (sāʕada) (form III)	musāʕada
وما	what?	mā
المواضيع	plural of مَوْضُوع (mawḍūʕ)	mawāḍīʕ
العراق	Iraq (a country in Asia)	al-ʕirāq
جدا	very	jiddan
ضد	opposite/ contrast	ḍidd
بسبب	because of	bisababi
أخبار	plural of خَبَر (ḵabar)	ʔaḵbār
تصحيح	verbal noun of صَحَّحَ (ṣaḥḥaḥa) (form II)	taṣḥīḥ
العيون	Laayoune (the capital and largest city of Western Sahara)	al-ʕayūn
مما	from what	mimmā
العاب
أمام	before/ in front of/ in the presence of	ʔamāma
الحياة	verbal noun of حَيِيَ (ḥayiya) (form I)	ḥayāh
مجموعة	collection/ compilation/ anthology	majmūʕa
جديد	new	jadīd
البحث	to search	baḥaṯa
وقت	verbal noun of وَقَتَ (waqata) (form I)	waqt
وسلم	peace	silm or salm
افضل
الكريم	noble/ noble-minded/ beneficent/ kind/ gracious	karīm
بالليزر	laser	līzar or layzar
مليون	million	malyūn or milyūn
فقد	to lose/ to misplace/ to miss	faqada
ل	The twenty-third letter of the Arabic alphabet/ written in the…	/laːm/
الدين	verbal noun of دَانَ (dāna/ “to be religious”) (form I)	dīn
خاص	special	ḵāṣṣ
أبو	nominative construct state of أَب (ʔab/ “father”)	ʔabū
الدولي	international	duwaliyy
الدول	to internationalize	dawwala
الخارجية	exterior	ḵārijiyya
اخبار
ولم	not (negating past tense)	lam
وهذا	this	hāḏā
الاتحاد	verbal noun of اِتَّحَدَ (ittaḥada) (form VIII)	ittiḥād
الشعر	to know/ to have knowledge/ to be cognizant	šaʕara
نحو	side/ direction	naḥw
أول	first	ʔawwal
المملكة	kingdom	mamlaka
الجديد	new	jadīd
العالمية	universality	ʕālamiyya
منه
الوطنية	feminine singular of وَطَنِيّ (waṭaniyy)	waṭaniyya
سوق	market	sūq
طريق	way/ road/ path/ track/ street	ṭarīq
المجلس	seat	majlis
مخالف	contrary/ disagreeing/ opposed	muḵālif
واحد	one	wāḥid
أفضل	elative degree of فَضِيل (faḍīl):	ʔafḍal
وعلى	on/ over	ʕalā
الإسلامية	feminine singular of إِسْلَامِيّ (ʔislāmiyy)	ʔislāmiyya
القرنية
التبليغ
مكتبة	library	maktaba
الموضوع	topic/ subject/ theme	mawḍūʕ
لك	varnish/ lacquer	lakk
الابيض	to turn white/ to whiten	ibyaḍḍa
تحميل	verbal noun of حَمَّلَ (ḥammala) (form II)	taḥmīl
لن	not (future)	lan
الكمبيوتر	computer	kambyūtar
البرامج	plural of بَرْنَامَج (barnāmaj)	barāmij
لدى	at/ near	ladā
لهم	greedy/ covetous/ voracious/ gluttonous	lahim
دولة	state (sovereign polity)	dawla
الدولية	feminine singular of دُوَلِيّ (duwaliyy)	duwaliyya
عنه
أما	as for/ followed by a noun or pronoun/ itself followed by the…	ʔammā
الجيش	verbal noun of جَاشَ (jāša)	jayš
كنت	the Internet	form I
كبيرة	feminine singular of كَبِير (kabīr)	kabīra
إدارة	verbal noun of أَدَارَ (ʔadāra) (form IV)	ʔidāra
للدعم	to support	daʕama
المجتمع	place of assembly	mujtamaʕ
الجديدة	El Jadida (a city in Casablanca-Settat/ Morocco)	al-jadīda
أنها
أمس	yesterday	ʔamsi
عيون	plural of عَيْن (ʕayn): eyes	ʕuyūn
أجل	yes/ indeed/ no doubt	ʔajal
نحن	we (subject pronoun)	naḥnu
شهر	month (unit of time)	šahr
حالة	condition/ state	ḥāla
السياسية	female equivalent of سِيَاسِيّ (siyāsiyy)	siyāsiyya
الأمر	to order/ to command/ to bid/ to instruct	ʔamara
الشعب	to gather/ unite	šaʕaba
وأن	introduces a verb clause in place of the definite verbal noun	ʔan
الرياض	Riyadh (the capital city of Saudi Arabia)	ar-riyāḍ
التربية	verbal noun of رَبَّى (rabbā) (form II)	tarbiya
لأن	because/ on the grounds that/ for	liʔanna
كبير	big/ large	kabīr
مستوى	level	mustawan
الخاص	special	ḵāṣṣ
الحصول	verbal noun of حَصَلَ (ḥaṣala) (form I)	ḥuṣūl
المرأة	definite singular of اِمْرَأَة (imraʔa)	al-marʔa
المدينة	Medina (a major city/ the capital of Medina province/ Saudi…	al-madīna
النظام	system	niẓām
إتصل
اي
الإنسان	human	ʔinsān
الرئيسية	feminine singular of رَئِيسِيّ (raʔīsiyy)	raʔīsiyya
وجود	verbal noun of وُجِدَ (wujida) (form I)	wujūd
الوزراء	plural of وَزِير (wazīr)	wuzarāʔ
حزب	political party	ḥizb
المعلومات	plural of مَعْلُومَة (maʕlūma)	maʕlūmāt
تاريخ	date/ time	tārīḵ
نفسه
ملفات	plural of مِلَفّ (milaff)	milaffāt
مرة	a time/ instance/ occurrence	marra
أم	mother	ʔumm
عمليات	plural of عَمَلِيَّة (ʕamaliyya)	ʕamaliyyāt
جامعة	university/ academy	jāmiʕa
العرب	to translate into Arabic	ʕarraba
الليزر	laser	līzar or layzar
اختر
الصفحة	page	ṣafḥa
نظام	system	niẓām
العديد
ضمن	to guarantee	ḍamina
القرآن	the Qur’an	al-qurʔān
نقل	to transport/ bring from one place to another	naqala
حين	time/ moment	ḥīn
ريال	riyal (the official currency of Saudi Arabia and Qatar).	riyāl
خدمة	verbal noun of خَدَمَ (ḵadama) (form I)	ḵidma
سنوات	plural of سَنَة (sana)	sanawāt
تقوم		form I
الشركة	verbal noun of شَرِكَ (šarika) (form I)	šarika or širka
عاما
مدير	active participle of أَدَارَ (ʔadāra).	mudīr
استخدام	verbal noun of اِسْتَخْدَمَ (istaḵdama) (form X)	istiḵdām
الكثير	many/ much/ numerous	kaṯīr
الملك	angel	malak
شيء	thing	šayʔ
مساء	evening	masāʔ
لكل	each one/ everyone	kull
مشروع	kosher	mašrūʕ
رمضان	Ramadan (the holy ninth month of the Islamic lunar calendar/…	ramaḍān
مواقع	plural of مَوْقِع (mawqiʕ)	mawāqiʕ
د	The eighth letter of the Arabic alphabet/ called دَال (dāl) and…	/daːl/
سوريا	Syria (a country in West Asia in the Middle East)	sūriyā or sūriyyā
كافة	all of/ altogether/ entirely	kāffatan
الجمعة	Friday	al-jumuʕa or al-jumʕa or al-jumaʕa
الصحة	health	ṣiḥḥa
العلوم	plural of عِلْم (ʕilm)	ʕulūm
ملتقى	gathering place/ congregation/ forum/ assemblage	multaqan
انفصال	verbal noun of اِنْفَصَلَ (infaṣala) (form VII)	infiṣāl
الأمن	to be faithful/ to be reliable	ʔamuna
بك
قانون	canon	qānūn
عرض	to appear	ʕaraḍa
لقد	emphatic particle	laqad
المالية	treasury	māliyya
دقائق	plural of دَقِيقَة (daqīqa)	daqāʔiq
المواقع	plural of مَوْقِع (mawqiʕ)	mawāqiʕ
ذات	feminine singular of ذَا (ḏā/ “this”)	ḏāta
الثالث	third	ṯāliṯ
القانون	canon	qānūn
المصرية	female equivalent of مِصْرِيّ (miṣriyy)	miṣriyya
مجال	field (area of specialty)	majāl
الشباب	verbal noun of شَبَّ (šabba)	šabāb
صيانة	verbal noun of صَانَ (ṣāna) (form I)	ṣiyāna
فريق	team	farīq
اضرار
بكل	each one/ everyone	kull
واحدة	feminine singular of وَاحِد (wāḥid)	wāḥida
البلاد	plural of بَلَد (balad)	bilād
الذى
السابق	previous/ preceding/ prior	sābiq
انحراف	verbal noun of اِنْحَرَفَ (inḥarafa) (form VII)	inḥirāf
بيت	house/ building	bayt
يقول		form I
طلبات	plural of طَلَب (ṭalab)	ṭalabāt
السيارات	plural of سَيَّارَة (sayyāra)	sayyārāt
الاول
أجهزة	plural of جِهَاز (jihāz)	ʔajhiza
ألف	Name of the first letter of the Arabic alphabet (ا / ا).	ʔalif
تطوير
اللجنة	committee/ commission/ council	lajna
السيد	master/ lord/ prince	sayyid
الكويت	Kuwait (a country in West Asia in the Middle East).	al-kuwayt
لما	not yet/ but not/ yet not/ (governs a jussive verb)	lammā
حسن	to be or become good/ to better/ to improve	ḥasuna
سوف	added to an imperfect (present) verb form to express future tense:…	sawfa
منتدي
الحديث	new	ḥadīṯ
عدة	appliance/ fixture/ technical provision	ʕudda
ركن	the intersection of two surfaces or edges/ a corner	rukn
كيف	how	kayfa
الخميس	Thursday	al-ḵamīs
الثلاثاء	Tuesday	aṯ-ṯulāṯāʔ or aṯ-ṯalāṯāʔ
تعالى	to rise/ ascend	taʕālā
التاريخ	date/ time	tārīḵ
الثالثة
لجنة	committee/ commission/ council	lajna
الأخيرة
القدم	to precede	qadama
مختلف	different	muḵtalif
أكبر	elative degree of كَبِير (kabīr):	ʔakbar
المرحلة	phase/ stage	marḥala
اذا
مسلسل	active participle of سَلْسَلَ (salsala)	musalsil
الأعضاء	plural of عُضْو (ʕuḍw) and عِضْو (ʕiḍw)	ʔaʕḍāʔ
أيام	plural of يَوْم (yawm)	ʔayyām
شبكية	retina of the eye	šabakiyya
فيديو	video	fīdiyū
عشر	masculine of عَشَرَة (ʕašara/ “ten”)	ʕašr
مواضيع	plural of مَوْضُوع (mawḍūʕ)	mawāḍīʕ
الفلسطينية	feminine singular of فِلَسْطِينِيّ (filasṭīniyy)	filasṭīniyya
حسب	to calculate/ to compute	ḥasaba
عمر	to live long/ to be long-lived	ʕamara
شخص	to rise/ to tower up	šaḵaṣa
لو	if (contrary to fact)	law
وضع	to put/ to lay/ to place/ to set/ to position/ to install/ to implant	waḍaʕa
علم	to know/ to have knowledge/ to be cognizant/ to be aware	ʕalima
والذي	this (feminine singular of ذا)	ḏī
السبت	Saturday/ the cessation or last day of the week	as-sabt
الساعة	hour (unit of time)	sāʕa
جنوب	south	janūb
انتقل	to move (change residence)	intaqala
عبدالله
دول	to internationalize	dawwala
المصري	a surname	al-maṣriyy
الرياضة	sport (physical activity)	riyāḍa
وأضاف	to add/ to append/ to attach	ʔaḍāfa
الا
وكانت		kānat
بناء	verbal noun of بَنَى (banā) (form I)	bināʔ
الفريق	team	farīq
التواصل	to be united by friendship	tawāṣala
القاهرة	Cairo (the capital city of Egypt)	al-qāhira
الحرب	to be enraged/ to be furious/ to be angry	ḥariba
مدونة	short academic article/ piece of writing in a journal/ a blog	mudawwana
حقوق	plural of حَقّ (ḥaqq/ “right/ title/ claim”)	ḥuqūq
وليس	not to be	laysa
الحوار	verbal noun of حَاوَرَ (ḥāwara) (form I)	ḥiwār
نهاية	end (“extreme part of something”)	nihāya
السياسي	political	siyāsiyy
الوطن	nation	waṭan
رسول	messenger/ emissary/ envoy/ delegate	rasūl
كتاب	verbal noun of كَتَبَ (kataba) (form I)	kitāb
اكثر		ukṯur
نادي		nādī
يمكنك
الرسائل	plural of رِسَالَة (risāla)	rasāʔil
المخروطية
منهم
غزة	Gaza (a city in the Gaza Strip/ Palestine in the Levant/ in full/…	ḡazza
السعودي	Saudi	suʕūdiyy or saʕūdiyy
الداخلية	interior	dāḵiliyya
اللبنانية	feminine singular of لُبْنَانِيّ (lubnāniyy)	lubnāniyya
بدون	without	bidūni
باسم	smiler: someone who smiles.	bāsim
الاسلامية
الأخرى	feminine singular of آخَر (ʔāḵar)	ʔuḵrā
تقدم	to precede	taqaddama
القنوات	plural of قَنَاة (qanāh)	qanawāt
رغم	to force/ to compel	raḡima or raḡama
الأمريكية	feminine singular of أَمْرِيكِيّ (ʔamrīkiyy)	ʔamrīkiyya
الإسلامي
مشاهدة	verbal noun of شَاهَدَ (šāhada) (form III)	mušāhada
تجمع	to gather up/ to pile up/ to heap up	tajammaʕa
رد	to return/ to bring back/ to put back	radda
جانب	side	jānib
بيان	verbal noun of بَانَ (bāna) (form I)	bayān
الأعمال	plural of عَمَل (ʕamal)	ʔaʕmāl
الدفاع	verbal noun of دَافَعَ (dāfaʕa) (form III)	difāʕ
الأرض	Earth	al-ʔarḍ
المغرب	Maghreb (the predominantly Arabic-speaking geographic region…	al-maḡrib
لي	Noun	lī
وكذلك	Used other than figuratively or idiomatically: see كَـ (ka-)/…	ka-ḏālika
إسرائيل	Israel (the Hebrew patriarch Jacob)	ʔisrāʔīl
إليه	to him/ to it	ʔilayhi
لنا	to us	lanā
المركز	place where the flag is planted in the ground	markaz or markiz
إذ	and then	ʔiḏ
دور	to turn in a circle/ to spin/ to whirl/ to revolve/ to rotate	dawwara
حركة	instance noun of حَرُكَ (ḥaruka): an instance of movement	ḥaraka
ثلاثة	three	ṯalāṯa
بداية	beginning/ start	bidāya
القوات	plural of قُوَّة (quwwa)	quwwāt
مقابل	in return for/ in exchange for/ as a compensation for	muqābil
الجمهورية	republicanism	jumhūriyya
وسط	middle/ center	wasaṭ or wasṭ
عنها
بالرياض	Riyadh (the capital city of Saudi Arabia)	ar-riyāḍ
تحقيق	verbal noun of حَقَّقَ (ḥaqqaqa) (form II)	taḥqīq
لذلك	therefore	liḏālika
الانتخابات	plural of اِنْتِخَاب (intiḵāb)	intiḵābāt
محافظة	verbal noun of حَافَظَ (ḥāfaẓa) (form III)	muḥāfaẓa
تصميم	verbal noun of صَمَّمَ (ṣammama) (form II)	taṣmīm
قام	to stand up (to rise from lying or sitting position)/ to get up	qāma
موضوع	topic/ subject/ theme	mawḍūʕ
جاء	to come	jāʔa
سواء	equal	sawāʔ
مباراة	verbal noun of بَارَى (bārā) (form III)	mubārāh
الكتاب	the Quran	al-kitāb
الدولار	dollar	dōlār or dūlār
نفس	to be priceless/ to be precious/ to be valuable	nafusa
الشرق	Oriental (a region of Morocco)	šarq
مكان	place/ location/ position	makān
الجامعة	university/ academy	jāmiʕa
ه	The twenty-sixth letter of the Arabic alphabet/ written in the…	/haːʔ/
إنه
مشاكل	plural of مُشْكِلَة (muškila)	mašākil
نتيجة	result	natīja
اليمن	Yemen	al-yaman
كلمة	speech/ utterance/ statement	kalima
الطب	medicine (field of study)/ medical science	aṭ-ṭibb
فلسطين	Palestine (a country in Western Asia/ in the Middle East/ the…	filasṭīn or filisṭīn or falasṭīn
أكتوبر	October (tenth month of the Gregorian calendar)	ʔuktūbir or ʔuktūbar or ʔaktūbar
الحلقة	ring/ loop	ḥalqa or ḥalaqa
حال	to change/ to be transformed	ḥāla
أ	The first letter of the Arabic alphabet/ called أَلِف (ʔalif) and…	/ʔ/
تقديم	verbal noun of قَدَّمَ (qaddama) (form II)	taqdīm
قطاع	section/ sector	qiṭāʕ
ليست		form I
أنت	you/ thou (masculine singular subject pronoun)	ʔanta
المقبل
البصر
المزيد	passive participle of زَادَ (zāda)	mazīd
دورة	rotation/ gyration/ cycle/ circuit/ circulation (with all kinds of…	dawra
أهم	to grieve/ to distress/ to concern/ to worry	ʔahamma
كلية	college/ academy/ school/ secondary school	kulliyya
تركيا	Turkey (a country in Europe and Asia)	turkiyā or turkiyyā
لكم	to punch/ to box	lakama
قرار	verbal noun of قَرَّ (qarra/ “to be established/ settled”) (form I)	qarār
مشاركة	verbal noun of شَارَكَ (šāraka) (form III)	mušāraka
للبيع	verbal noun of بَاعَ (bāʕa) (form I)	bayʕ
الاعضاء
السوق	market	sūq
الاجتماعية	socialism	ijtimāʕiyya
الدخول	verbal noun of دَخَلَ (daḵala) (form I)	duḵūl
الشرطة	vanguard/ choice men of the army	/ʃur.tˤa/
يقوم		form I
الاثنين	Monday	al-iṯnayn
الإدارة	verbal noun of أَدَارَ (ʔadāra) (form IV)	ʔidāra
الفترة	interval/ a while/ a period of time	fatra
المشاركة	verbal noun of شَارَكَ (šāraka) (form III)	mušāraka
بالنسبة	verbal noun of نَسَبَ (nasaba) (form I)	nisba
خدمات	plural of خِدْمَة (ḵidma)	ḵidmāt
بينما	while	baynamā
مارس	to practice (to engage in)	mārasa
مادة	matter/ stuff/ material/ substance	mādda
التسجيل	verbal noun of سَجَّلَ (sajjala) (form II)	tasjīl
يكن		form I
حكومة	verbal noun of حَكَمَ (ḥakama) (form I)	ḥukūma
شركات	plural of شَرِكَة (šarika)	šarikāt
بي
الشركات	plural of شَرِكَة (šarika)	šarikāt
الأطفال	plural of طِفْل (ṭifl)	ʔaṭfāl
باب	door/ gate	bāb
الفرنسية	feminine singular of فَرَنْسِيّ (faransiyy/ “French”)	faransiyya
عليهم	third-person plural masculine of عَلَى (ʕalā)	ʕalayhim
الخدمات	plural of خِدْمَة (ḵidma)	ḵidmāt
فهو	he (subject pronoun)	huwa
سبتمبر	September (ninth month of the Gregorian calendar)	sibtimbir or sibtambir or sabtambar or sibtimbar
الحكم	to exercise authority/ command/ bid/ to rule/ to reign/ to decree	ḥakama
السوري	Syrian	sūriyy
الأخبار	plural of خَبَر (ḵabar)	ʔaḵbār
متوسط	being in the middle/ mediating	mutawassiṭ
الاقتصادية	feminine singular of اِقْتِصَادِيّ (iqtiṣādiyy)	iqtiṣādiyya
هم	they (masculine plural subject pronoun)	hum
الصف	row/ line (sequence of people or objects)	ṣaff
جنيه	pound (unit of currency)	junayh
المواد	plural of مَادَّة (mādda)	mawādd
بهذا	this	hāḏā
نتائج	plural of نَتِيجَة (natīja)	natāʔij
اسم	name	ism
أبي	genitive construct state of أَب (ʔab/ “father”)	ʔabī
عروض	a path or road lying to the side or obliquely or on a declivity	ʕarūḍ
أنا	I (first person singular subject pronoun)	ʔana
يناير	January (first month of the Gregorian calendar)	yanāyir
فلا	to withdraw from sucking	falā
أكد	to assure	ʔakkada
الموسم	season	mawsim
افلام
وبعد	to be distant/ afar/ to become distant/ go away (مِنْ (min) or…	baʕuda
صحيفة	newspaper	ṣaḥīfa
الكاتب	to keep up a correspondence/ to correspond with	kātaba
وان	Van (the capital city of Van Province/ Turkey)	wān
لوحة	plank/ board/ blackboard/ slate/ sheet	lawḥa
الحول	verbal noun of حَالَ (ḥāla) (form I)	ḥawl
المسلمين
قوات	plural of قُوَّة (quwwa)	quwwāt
العالمي	world/ worldwide/ global	ʕālamiyy
سورية	Syria (a country in West Asia in the Middle East)	sūriyya
حاليا	currently	ḥāliyyan
الدوري	cyclical/ periodic	dawriyy
كأس	a glass/ especially a wine glass or arak glass	kaʔs
المحلية	feminine singular of مَحَلِّيّ (maḥalliyy)	maḥalliyya
معلومات	plural of مَعْلُومَة (maʕlūma)	maʕlūmāt
كرة	ball	kura
الجوال	who roams about much	jawwāl
السياحة	verbal noun of سَاحَ (sāḥa) (form I)	siyāḥa
إلي
خالد	immortal/ glorious/ eternal	ḵālid
الإمارات	ellipsis of الْإِمَارَات الْعَرَبِيَّة الْمُتَّحِدَة (al-ʔimārāt…	al-ʔimārāt
أهل	family/ household/ people/ kinfolk/ relations	ʔahl
سعر	price	siʕr
الاجتماعي	related to community/ related to a group	ijtimāʕiyy
لهذا	therefore	li-hāḏā
بالإضافة	verbal noun of أَضَافَ (ʔaḍāfa) (form IV)	ʔiḍāfa
يعني	in other words/ actually/ namely/ to wit/ kind of/ somewhat/ id…	form I
النبي	prophet	nabiyy
نقطة	dot/ point	nuqṭa
هيئة	form/ shape	hayʔa
الفيديو	video	fīdiyū
المستوى	level	mustawan
فترة	interval/ a while/ a period of time	fatra
دعم	to support	daʕama
شمال	left hand	šimāl
الطفل	child (a minor)	ṭifl
كذلك	Used other than figuratively or idiomatically: see كَـ (ka-)/…	ka-ḏālika
حسين	a male given name/ Husayn	ḥusayn
فيلم	film/ movie	fīlm
مصادر	plural of مَصْدَر (maṣdar)	maṣādir
سيكون
السورية	Syria (a country in West Asia in the Middle East)	sūriyya
الأربعاء	Wednesday	al-ʔarbiʕāʔ
معه
التعاون	to cooperate/ to work together/ to help each other	taʕāwana
أثناء	plural of ثِنْي (ṯiny/ “duplication/ a single repetition of a…	ʔaṯnāʔ
العلمية	feminine singular of عِلْمِيّ (ʕilmiyy)	ʕilmiyya
انشئ
تطبيق	verbal noun of طَبَّقَ (ṭabbaqa) (form II)	taṭbīq
يونيو	June (sixth month of the Gregorian calendar)	yūnyū or yūnyō
العضو	organ	ʕuḍw or ʕiḍw
صورة	form/ shape/ figure	ṣūra
يوجد		form I
العلاقات	plural of عَلَاقَة (ʕalāqa)	ʕalāqāt
تنظيف	verbal noun of نَظَّفَ (naẓẓafa) (form II)	tanẓīf
ثانوي	secondary/ minor	ṯānawiyy
كانوا		kānū
