何	what
正し	true/ straight/ unwarped/ unskewed/ proper
言葉	a word/ a term
大	big/ large
立	to stand up
写真	photograph
説明	explanation
博士	a doctor (person who has attained a doctorate)
強	strong
絶対	absolute/ limitless
座	names of constellations
国	a land/ a large place
向か	to turn toward/ to point/ to (move to) face
名	name
ある	to exist/ to be/ to have
野郎	a son of a bitch/ a bastard/ a jerk/ a motherfucker/ a rascal/ a…
番	one's turn (as in a game/ etc.)
一番	first/ number one
重要	important/ significant
状況	situation (position vis-à-vis surroundings) of something that changes
元気	healthy
水	water (sometimes cold and/or fresh)
変え	to change/ to make different
十分	enough/ plenty/ sufficient
週間	week
やあ	hi (informal greeting)
父親	father
間違い	a mistake
王	a king/ especially one who is not East Asian or was East Asian in…
了解	understanding/ comprehension
相手	other person
員	member
声	voice
会え	to meet with/ see/ meet again or for the first time
音	sound
多く	there are many/ there is much/ there are numerous/ there is an…
消え	to disappear/ to vanish/ (of a fire or light) to go out
会社	a company
簡単	easy
選	selection
残念	regretful
自由	free (as in freedom)
自身	[one]self
等	equal
一体	as one/ as a whole
報告	report/ information
読	to read
過ぎ	to pass by/ to pass through/ to go beyond
通	to pass through
アメリカ	America (one of the continents of North America or South America)
元	cause/ origin
命令	order/ direction/ instruction/ commandment
高	tall
体	counter for humanoid objects
大統領	a president (the head of state of a republic)
月	the Moon
警官	police officer
語	a word/ term
学校	school (institution dedicated to teaching and learning)
対	facing/ opposed
決め	to make a choice between multiple alternatives/ to decide
真実	true/ genuine
初めて	for the first time/ first
口	the mouth
大変	difficult/ hard
要	need/ necessity
変	change
戦争	war (conflict involving organized use of arms)
学	education/ study/ learn
あそこ	that place/ area/ or part over there (far from the speaker and the…
武器	weapon/ arms
店	a commercial building/ a store/ a shop
母親	mother
刑事	a detective
気持ち	a feeling/ sensation/ feelings
間違
運	to drive
記録	record (most extreme known value of some achievement)/ such as in…
光	a physically perceived light:
手伝
深	added to gods and other spiritually important things
落ち着
存在	existence
実	reality
役	duty/ office
病院	hospital (large medical facility)
住	dwelling/ reside
責任	responsibility
あっ	ah!/ oh!
普通	common/ ordinary
行動	action/ behavior
大きな	synonym of 大きい (ōkii/ “big/ large”) (all senses)
監視	surveillance
協力	cooperation/ working together
多分	maybe/ perhaps/ probably
実際	practice (as opposed to theory)
足	foot
地球	Earth/ Terra
生活	life/ livelihood/ daily living.
任せ	to entrust something to someone else/ to defer something to…
気分	feeling/ mood
解決	solution/ settlement
結果	the result/ effect/ consequence
調査	investigation/ examination/ inspection/ inquiry/ enquiry/ survey
研究	a piece of research/ a study/ investigation
何処	indefinite interrogative pronoun:
発見	discovery
場	a place
大事	important
止ま	to stop/ to cease/ to be over
興味	interest
大き	big
生	a raw/ uncooked state
なあ	alternative form of な (na)
運転	driving/ steering (a vehicle)
ヶ月	counter for months/ used to express a period of time numbered in…
多	many/ much
番号	number (sequence of digits and letters used to register people/…
状態	the state or condition (of something at a certain time)/ (current)…
来い	to come (toward the speaker)
開	open
上手	skillful/ dexterous
済	settle/ finish/ feel at ease
場合	case/ occasion/ circumstances/ situation
刑務	prison affairs/ prison administration
今度	now/ this time
以外	apart from/ excepting (something)
朝	the morning
飛行	flying/ flight
あまり	be left over
近く	near/ close to (in space)
後ろ	the back/ the behind/ the rear (both spatially and temporally)
目的	a purpose/ a goal/ an objective
歌	a song
面白	something interesting
弁護	advocacy/ defense
客	guest/ visitor
売	to sell
特別	special
昨日	yesterday
少な
認め	to accept/ admit/ to approve/ to allow
死体	a dead body/ a cadaver/ a corpse
医者	medical doctor
装置	equipment/ device
共	together
唯一	uniqueness
あんな	like that/ such (referring to something or someone in the distance…
不明	unknown
限り	to limit/ to restrict
信用	belief/ trust/ confidence
美し	beautiful
用意	preparation
話せ	to talk (about something)/ to speak (on a subject)/ to converse
移動	a transfer
映画	movie/ film
美咲	a female given name
取引	transaction
最近	the latest/ the most recent
現場	actual spot
事故	accident/ incident/ trouble
連中	those guys/ a group/ bunch of people
過去	the past (period of time that has already happened)
全く	(not) at all
選択	a selection/ a choice/ an option
完全	perfect/ completed
信じ	to believe
信頼	reliance/ trust/ confidence
町	town
何故	why ... ?/ how ... ?
始ま
精神	psyche/ spirit/ soul/ mind/ will
付け	attach/ affix/ stick/ fasten/ add/ add on/ append/ set/ put/ put…
あら	to exist/ to be/ to have
女の子	a child that is female/ a girl
気づ
記憶	memory/ recollection/ remembrance
頑張
素敵	lovely
身	body
価値	value/ worth
有	nominalization of 有る (aru): there is/ available
非常	extraordinary/ unusual
三	three
最も	most/ -est
両親	both parents
人物	person/ figure/ personage
生まれ	to be born
警備	security guard
以前	before/ formerly/ ago
無事	safe and sound
聞け	聞く/ 聴く: to hear/ to listen (to)
決して	to decide/ to make a decision/ to make up one's mind
銀行	a bank (financial institution)
馬鹿	foolish/ idiotic/ stupid/ ridiculous
裁判	trial
降り	to fall from the sky/ to precipitate
大学	Great Learning
州	first-level administrative division of some countries/ such as:…
今回	this time/ this
空	the sky
経験	experience (an experience or one's (overall) experience)
本物	the real thing/ the genuine article/ not a fake
部	copies of a newspaper or magazine
化	to change/ to take the form of
未来	the future
正直	honest (scrupulous with regard to telling the truth)
年間	the period of one year
無駄	useless/ pointless/ meaningless
現れ	sign
島	island
病気	sickness/ illness/ disease
内	Kyūjitai form of 内
風	wind
結構	the assembly or composition of things into a single unified whole
治療	medical treatment
予定	schedule
点	items/ goods/ artworks
許可	permission/ consent
勇気	courage
最悪	the worst
本気	serious
全然	(not) at all
任務	duty/ task/ mission
日本	Japan (ellipsis of 日本国 (Nihon-koku): a country in East Asia)
作戦	operation
成功	success
進	advance/ make progress/ enter
近づ
品	article/ goods
消	to disappear
小さな	synonym of 小さい (chīsai/ “small”) (all senses)
科学	science
放	set free
向こう	the other side/ the opposite side/ across
事実	fact/ truth/ reality
食	to eat
関	frontier pass
戦い	a fight/ battle/ or by extension/ a war
少年	a boy/ a young man
爆発	explosion/ blast/ detonation
現実	reality
保護	protection/ safeguard
地下	underground/ subterranean
隊	team
地	earth/ soil/ mud
別れ	to separate
時代	age/ era/ period (of time)
使え	to use
組織	organization (a group of people with a purpose)
式	type/ style
落ち着け	to relax/ calm down
動物	animal
無し	nothing
下が
技術	technology
個人	individual
期待	expectation
調子	condition/ state/ fettle/ kilter
線	line
局	bureau
利用	use/ usage/ utilization/ application
主人	(one's own) husband (use ご主人 to refer to somebody else's husband)
館	a roofed structure on a boat/ shaped like a house
毎日	every day/ daily
付	stem or continuative form of 付ける (tsukeru)
当然	natural/ inevitable
患者	sufferer/ patient
全	whole/ entire/ all
今朝	this morning
過ご
馬	horse
あー	Used to denote fanatics/ adepts or devotees of a certain product/…
あたし	first person singular pronoun: I/ me
立て	to stand/ to stand up/ to rise
地獄	hell
合	mutual/ together/ each other/ meeting
続	to continue/ continuation
陛下	down the steps to the emperor's palace/ looking up
小さ
火	a fire:
平気	insensitive/ cavalier
世話	care/ looking after/ help/ favor
能力	ability/ capability/ capacity/ faculty
理子	a female given name
検査	inspection/ examination/ check (usually done by a 3rd party)
アレックス	a transliteration of the English unisex given name Alex
木	a tree or shrub
号	number
山	a mountain (large mass of earth and rock) or (large) hill
解	solution/ untie
警部	police inspector
食事	meal
幸運	lucky/ fortunate
構	to build/ to construct
侵入	penetration
駄目	no good/ useless/ hopeless/ bad
緊急	urgent/ pressing
親父	an old man (elderly man)
気付
主	lord/ master
速	fast/ speedy
代わり	substitute/ be substituted for/ be substituted for a person/ take…
休	rest/ vacation
原因	cause (source or reason of an event or action)
警告	warning
山里
特に	specially
部下	subordinate (one who is subordinate)
運命	law/ regulations/ customs/ that which has been decided and is…
到着	arrival
自殺	suicide
屋	roof
現在	the present/ now
一部	part/ portion
行為	action/ act
遺体	corpse/ remains
大切	important/ weighty
関わ
常	eternal/ unchanging
感情	an emotion/ a feeling/ feelings/ a sentiment
夕食	supper/ dinner (evening meal)
星	a star (luminous celestial body)
達也	a male given name
手紙	a letter/ epistle (written message or note)
混乱	confusion
支配	rule/ control/ command
影響	influence/ effect
受け入れ	accept
知れ	to know/ be aware of
行方	one's whereabouts/ direction or destination
少女	a (young/ little) girl
位	rank/ place
半分	a half
誕生	birth/ creation/ formation
超	extra-/ hyper-/ mega-/ meta-/ para-/ super-/ trans-/ ultra-
施設	institution/ equipment/ facilities
殺せ	to kill/ to put to death
向け	to turn (something towards a direction)/ to point (something…
機会	opportunity/ chance
人類	mankind/ the human race/ humanity
正確	accurate/ exact/ correct/ precise
活動	activity/ work/ operation
料理	cooking/ cuisine
要求	demand/ firm request/ requirement
再	again
指示	instructions/ indication
部隊	a military unit
何者	someone/ anyone
音楽	music
上げ	to raise/ to lift
管理	management/ control/ stewardship/ administration
映像	image/ video (visual media/ either still or moving)
開始	start/ beginning/ initiation
議員	a member of a legislature/ a legislator/ a congressperson/ a…
反対	opposed
勝手	selfish
器	device/ instrument
反応	chemical reaction
可愛
権利	right/ claim/ title/ privilege
女王	a Japanese prince's unmarried daughter who is descended from the…
師	teacher/ master/ one's mentor
大好き	loved/ lovable/ very liked/ very likable
面倒	inconvenient/ troublesome
出発	departure
引	pull
保安	preservation of peace/ security from accident and incident
上が
決ま
楽しみ	to enjoy oneself
行き	to go/ to come to one's place
将軍	a commander of troops/ especially of an expeditionary or frontline…
担当	charge of/ end/ responsibility for an area of work
事態	situation (especially negative)/ state of affairs/ circumstances
一杯	a lot/ loads
近	near/ close
発	set off/ depart
取り戻
偉大	great
結局	eventually/ after all
ロシア	Russia (a transcontinental country in Eastern Europe and North Asia)
司令	command (e.g. of troops)
平和	peaceful
解放	liberation/ absolution
直	price/ cost
事務	business/ clerical work
瞬間	instant (period of time)/ the moment that something happens
教授	professor
示	causing attention/ showing/ important
教会	church
優し
位置	location/ position
以来	since
突然	sudden
付き合
集中	concentration
通信	communication
あっち	alternative form of あちら
契約	contract/ agreement
異常	abnormal
殺し	to kill/ to put to death
部分	part/ section/ segment/ portion
様子	state of things/ the situation/ appearances/ circumstances
沢山	many/ numerous
住所	address
参加	participation/ commitment
旅	trip
社	short for 会社 (kaisha): company/ co.
重	a division
自然	natural
殺害	killing/ murder
園	field/ plantation
速人
途中	on the way/ along the way/ en route
証言	testimony
夏美	a female given name
取れ	come off/ become detached
前回	last time (the previous occurrence)
手術	an operation/ surgery (procedure involving major incisions)
強盗	robbery (theft by force)
種	seed
魔女	a witch/ a sorceress
信号	a signal
専門	speciality/specialty/ subject of study/ subject of expertise/ area…
閣下	down a noble's residential tower/ looking up
会議	meeting/ conference
美月	a female given name
提供	offer
離	separate/ detach/ digress
荷物	baggage/ luggage
安心	unworrying/ safe
基地	base (e.g. military/ research)
目撃	seeing an event/ witnessing
動き	to move
指	a finger or toe/ digit
怪物	a monster
会話	conversation
受け取
一致	agreement/ harmony/ unity
全体	entirety
徳井
アンタ	alternative form of あなた (“you”) (second-person singular pronoun)
親	parent/ elder
天使	an angel
勝利	victory
主義	a principle or set of principles/ a doctrine/ an ism
旅行	travel/ a trip/ a journey/ a voyage/ a tour
死亡	death
夫人	(another person's) wife/ married lady
目標	goal/ objective/ target
個	item/ article/ thing
中国	China
生徒	pupil/ educatee/ student (especially in junior high schools (中学校)…
建物	建物: building/ structure/ construction/ edifice
確信	conviction/ confidence in
出会
使用	use/ usage
台	a car/ a carriage/ a cart/ a vehicle
社会	society (group of people sharing culture)
周り	回り/ 廻り: rotation/ circulation/ function
市民	citizen(s)/ townsperson/townspeople
色	color
停止	suspension/ stoppage/ abeyance
曲	a bend (of an area)
実験	experiment
直接	direct
川	river
ありがと	alternative form of ありがとう (arigatō)
実行	practice
半	half
乗せ	give someone a ride
後悔	regret
案内	guidance
禁止	prohibition
距離	distance
次第	order/ sequence
感染	infection/ contagion
制御	control
有名	famous/ renowned/ well-known/ celebrated
戦闘	a battle/ a fight/ combat
以内	within/ inside of a certain area/ range/ or time period
書類	documents/ papers
偶然	contingent/ casual/ accidental/ incidental
機械	機械/ 器械: any powered mechanical device for performing work
最終	the last/ the final
無視	ignoring/ neglect
王子	prince (son of a monarch)
呼吸	a breath
巨人	a giant:
軍隊	armed forces such as the army/ the navy/ or the air force
支援	aid/ support
大人	an adult/ a grown-up
同意	agreement/ consent
恋人	a lover/ a boyfriend or girlfriend
知り合い	acquaintance
努力	synonym of ゆめゆめ: certainly/ a little bit
白	the color white
足り	to suffice/ to be enough
進め	to go forward/ to advance/ to progress
惑星	planet
味方	friend/ supporter/ ally
回復	recovery
新聞	news
話し	to talk (about something)/ to speak (on a subject)/ to converse
アパート	apartment
組	class/ group/ team/ set
アア
生き残
一生	a lifetime/ one's whole life
処理	processing
兵器	a weapon/ arms
方向	direction/ heading
決定	decision
当た
アクセス	access
満足	happy/ satisfying/ sufficient/ competent
クレア	a transliteration of the French female given name Claire
神経	sensitivity
症	attached to the names of conditions
親友	close friend/ bosom buddy
流	the flow of water or something like water
分析	analysis
不思議	mysterious/ wonderful/ curious/ strange
限	limit
半田	solder
物語	a tale/ a story
練習	practice (learning or improvement of a skill)
久し
他人	other people
両方	both sides
南	the south (cardinal point)
成長	growth/ maturation
再び	again/ once more
医	doctor/ physician/ medicine
指揮	command/ direction
最大	maximum/ greatest/ largest
病	have a disease/ disease
記事	an article/ a written news story/ such as in a newspaper or…
時計	a clock/ a watch/ a timepiece/ a timekeeper
アラン	a transliteration of the French male given name Alain
手段	procedure/ method/ way/ a means (to an end)
高校	high school/ senior high school
太陽	the sun
具合	bodily condition/ health
青	blue/ cyan/ azure
向	yonder
才能	ability/ talent
交換	exchange/ swap/ give-and-take
所有	possession/ the ownership of something
最低	lowest/ minimum
救急	emergency medical aid
魅力	allure/ charm/ glamour
楽	music
応答	response
最	makes superlatives/ most/ -est
修理	a repair
勉強	studying/ studies/ study
提案	proposal
資金	a fund/ funds/ capital
社長	president/ CEO/ executive director
ありさ
試合	match/ game
気の毒	pitiful/ unfortunate/ sorry
金持ち	wealthy person
安定	stability
指紋	fingerprint
流れ	flow
経	warp (thread running lengthwise)
団	group/ association
代	world/ society
日間	days (of duration)
午後	afternoon/ PM
政治	politics
正体	a natural/ original/ true/ etc. form/ shape or identity
確保	guarantee
機能	a function
優秀	excellent/ superior/ outstanding
動か	to move
発生	occurrence/ incidence
英雄	hero
立場	position
電気	electricity
帽子	hat/ cap
効果	effect
アンナ	Anne
条件	terms/ conditions/ or requirements/ as of a treaty or contract
確実	certain/ reliable
連邦	a federal state/ a federation
規則	rule/ regulation
土地	ground/ land
直ぐ	straight/ not bent
卒業	graduation
手がかり	hint/ clue/ lead
自己	self/ oneself
列車	train
加減	addition and subtraction
暴力	violence (especially criminal)/ force
立派	excellent/ splendid/ magnificent
石	a stone
同様	equal/ same
不安	anxious/ uneasy
身体	body
ライアン
無線	wireless
対処	coping/ handling
権	right to do something/ authority
起動	the act of starting up a machine/ especially a computer
誤解	misunderstanding
治	to govern/ to regulate/ to administer/ to reign
雄基
接触	making contact/ touch
名誉	famous
説得	persuasion
特定	a certain one/ particular one/ specific one
標的	target
正義	justice
見張
導	to direct/ guide/ lead/ conduct
無実	false/ untrue
アイツ
興奮	excitement/ stimulation/ agitation/ arousal
承知	consent/ agreement
納得	understanding
光栄	honourable/ an honour
本部	headquarters
変更	a change/ an alteration
大佐	a colonel
空気	air/ atmosphere
支払	payment
あらゆる	every/ all
表	surface/ face (visible side of an object)
片付け	to tidy up/ to put in order
アダム	Adam
地図	a map (visual representation of an area)
法律	The field/ profession/ and study of law. The rule of law.
医療	medical treatment
台無し	useless/ failure/ mess/ worthless/ ruin
非	negative prefix: in-/ non-/ un-
貴様	you/ you SOB/ you motherfucker
形	shape/ form/ style
評価	appraisal
都市	city/ town
出身	hometown/ the place one comes from
釈放	someone's release or liberation
大した	big/ quite/ very great/ considerable
保証	an assurance/ a guarantee
予想	expectation/ anticipation
省	government ministry
疑問	a question (implies a doubt about something)
同僚	colleague/ coworker who works at the same working place/…
変化	change in society/ climate/ or condition/ transformation/ variety
交渉	negotiations
合わせ	causative of 合う (au)
生命	life/ one's existence
村	village (a rural habitation of size between a hamlet and a town)
作業	work/ operation
将来	the future
面	mask
悠里子
空港	airport
指輪	a ring (round piece of (precious) metal worn around the finger)
巨大	great/ gigantic/ huge/ very big
西	west
手配	arrangements
工場	factory/ workshop/ mill/ plant
城	castle
取り
話し合
東	the east (compass point)
あるいは	or/ either/ some ... and others
目覚め	to awaken
金庫	a safe
間違え	to be wrong/ to be incorrect
馬場	riding ground
内部	interior/ the inside/ the internal part
艦隊	fleet of naval vessels/ armada
食料	food
あり	to exist/ to be/ to have
保険	insurance
得意	triumphant/ proud
医師	doctor
英語	the English language
離婚	divorce
子ども	child
違反	violation
公	a ruler of a country
維持	maintenance
男の子	a boy
政子	a female given name
味	clever/ smart/ witty
口座	account (a registry of pecuniary transactions)
大勢	in a crowd/ as a crowd
鉄	metal
親切	kind/ helpful/ friendly/ obliging
仕業	act/ action/ deed/ work
贈り物	present/ gift
待機	being on alert/ on standby
戦士	a soldier/ a combatant/ a warrior
知らせ	to let someone know something
尋問	questioning/ interrogation
発射	launch/ firing
食べ物	food in general/ provisions
系	type/ kind/ system/ family
駅	station (train/ underground/subway)
開発	development or exploitation of natural resources etc.
事情	circumstances
育て	to raise/ to rear/ to foster/ to bring up (children/ animals/ etc.)
上司	boss
国家	nation/ state
大使	ambassador
機関	engine/ machine
生物	an organism/ a life form
超え
天才	genius
量	volume/ amount
横	sideways/ horizontal
観	see/ observe/ view
入り	to enter/ to go into/ to get into a place or a thing
正気	sanity/ reason
人質	a hostage
有罪	guilt/ being guilty
約	contract/ promise
中止	stoppage/ termination/ discontinuation
発表	announcement/ publication/ presentation
現金	cash
始末	beginning and end
撮影	filming/ photographing
衛星	a satellite (a body orbiting a larger one/ man-made apparatus…
都合	convenience
関連	relation
間に合
小屋	cottage/ hut/ cabin/ shed
公園	park
単純	simple
王国	kingdom (realm ruled by a king and/or queen)
存知
加え	add/ sum up
道路	road/ street/ a way for local traffic
育	kyūjitai form of 育
神父	a father/ a priest
慎重	the way in which one is careful/ thoughtful/ prudent/ discreet
生存	living/ life
注文	a request for some product or service/ order.
物質	material/ substance
関心	concern/ interest
時期	time for doing something
駐車	parking/ especially of cars
乗れ	to get on/ride (a bus/ a train/ a bicycle)/ to get in (a car)/ to…
遺伝	genetic/ genetics
返事	reply/ response
エイリアン	synonym of 宇宙人 (uchūjin/ “alien”) (life form of non-Earth origin)
化学	chemistry (branch of natural science)
数え	to count
緊張	physical tension/ strain
優先	priority
米国	a country that is an exporter of rice
当て	to hit/ to collide
出来事	incident/ event
設計	plan
大量	mass/ massive
投げ	to throw
内容	contents (something inside a container)
機密	a top secret/ something confidential
授業	instruction/ teaching/ school/ lesson/ class
義務	duty/ obligation
突き止め	to determine (esp. a culprit or underlying cause)/ to pin down/ to…
広	vast/ wide
通報	a report/ notification
文字	a letter/ a character (symbol for a sound or a word)
アップ	increase/ ascent
学生	a student (usually of a university/ sometimes of a high school)
オリビア
暗殺	assassination
注目	attention/ notice
暗号	code/ cipher
背中	back (of a body)
囚人	a prisoner
完成	completion/ accomplishment
休み	rest/ a break
孤独	lonely
アイデア	idea/ invention
武装	armaments
果た
地域	area/ district/ particular geographic region
始まり	to begin
見事	spectacular/ splendid/ magnificent/ wonderful
防衛	defense/ self-defense
人形	doll/ puppet
カリフォルニア	California (a state of the United States)
着陸	landing
文句	complaint
委員	committee member
地元	home town
自信	self-confidence
貴女	貴方/ 貴女/ 貴男: you (second-person pronoun)
知識	knowledge
予約	reservation/ booking
メアリー	a transliteration of the English female given name Mary
椅子	a seat (piece of furniture)
教師	teacher
賛成	approval
操作	maneuver/ operate
要請	an official request (of something that has to be done)
記者	reporter/ journalist
今後	from now on
畜生	a beast: a generic term for animals/ birds/ fish and insects/ as…
伝説	legend (an unrealistic story depicting past events)
主張	opinion/ assertion/ contention
民	nation/ peoples
自ら	personally/ by or for oneself
死者	a dead person/ the dead
アンディ
機嫌	in a good mood
小	smallness/ small size/ small (sometimes used as an abbreviation…
アリス	a transliteration of the English female given name Alice
あきらめ	to abandon
程	extent
ばあ	boo!
証人	witness
議論	discussion
一般	general/ common/ ordinary
先週	last week
放射	radiation/ emission
程度	degree/ extent
アホ
身元	person's identity
有難う	an expression of thankfulness: thank you
アーサー	Arthur
強力	strong/ powerful
同時	simultaneity/ concurrency/ happening at the same time/ synchronicity
休暇	vacation
拷問	torture (in order to make someone confess)
出口	exit/ outlet
決断	decision
移	to change
大尉	the senior 判官 (jō/ “third-in-command”) of the 兵衛府 (Hyōefu) or the…
小僧	young/novice Buddhist monk
態度	attitude toward/ stance
記念	memorial
投資	investment
危機	crisis/ pinch
持て	to hold/ to carry something
アナタ
企業	enterprise/ undertaking/ corporation/ business
接近	getting closer/ approaching
世紀	century (100 years)
一方	one side/ one-way
動け	to move
知ら	to know/ be aware of
否定	denial/ negation
保管	safekeeping/ storage
ジュリア
吉森
燃料	fuel
源	a fountainhead (source of a river)
反	anti-
千	a thousand/ 1000
順調	satisfactory/ favorable
道具	tool (mechanical device intended to make a task easier)
状	condition
非難	accusation/ criticism/ blame
朝食	breakfast
環境	environment/ surroundings
役立
午前	forenoon/ AM
アーマン
援護	aid/ covering/ protection/ backing/ relief
動機	motive/ that which sets one into motion
売春	prostitution
令状	a court or judge-issued document ordering or permitting compulsory…
指導	guidance/ leadership
天国	heaven
この世	the world of the living/ this world
代表	a representative/ representation/ delegation/ example
投票	voting
作れ	to make/ to create
最善	the best
地上	above ground
手助け	help/ a helping hand/ assistance
婚約	engagement (a promise to marry)
選手	player/ at variety of sports/ or games.
保障	guarantee
自動	automatic movement/ automatic functioning
呼び出
売れ	to sell (something) (to agree to transfer goods)
策	scheme/ plan/ policy/ step/ means
伝言	message
経営	management
中尉	a first lieutenant
休憩	a rest/ a break/ an intermission
数学	mathematics (field of study)
院	institution
夜中	late at night/ the middle of the night
番組	program/ programming
作品	a work/ especially a work of art such as a performance/ a…
種類	kind/ sort/ type/ variety
手遅れ	too late/ being belated
外れ	end/ verge
警戒	caution
ジュリアン
似合
犯行	a crime
基本	basis/ foundation
影	light
読め	to read (look at and interpret written text)
警報	alarm/ alert/ warning
不足	insufficient
門	door/ a plate placed on doorway
同士	fellow/ companion
動揺	distress/ agitation
手伝い	help
対応	correspondence to
白人	a white person
科	sort/ class/ kind/ grade/ examinations graded in classes (しな)
推測	speculation/ conjecture/ guesswork
航空	aviation
国民	nationals (citizens of a state)
演奏	a performance (of music)/ a recital
屋根	roof
呼べ	to call/ to call out
初	the first.../ initial.../ new...
自宅	one's own home
中毒	addiction
回収	recovery/ calling in
特殊	special/ exceptional
降ろ
市場	market/ marketplace (spacious site for trading)
放せ	to release/ to free/ to set free/ to let loose
帝国	empire
送信	transmission
四	four/ 4
国境	a national border or frontier (part of a country that fronts or…
芸術	the arts
殺し屋	hitman/ contract killer
人殺し	murder
資料	written resources/ data/ documents/ information
親し	close/ friendly
年代	age/ era/ period
飲み物	drink
正当	right/ legitimate/ allowable
諜報	intelligence (secrets/ espionage/ etc.)
単なる	mere/ sheer/ just/ simple/ pure
感覚	sense (method to gather data)
放送	broadcast (a radio or TV transmission on air)
老人	old person/ elderly
夢中	absorbed (fully occupied with one's thoughts/ engrossed)
配置	arrangement of resources/ placement of people
支持	support
来れ	to come (toward the speaker)
告白	confession
教育	education
従業	being engaged in employment
看護	nursing
宝石	gemstone
生か	to live/ to exist
利益	benefit
黒人	a black person (e.g. African-American)
農場	farm
金曜	Venus (planet)
着け	to arrive/ to reach a destination
アイス	ice
地区	zone (area distinguished on the basis of a particular…
保	protection
候補	candidate
認識	recognition/ awareness
家庭	family/ household
近所	a neighborhood
持ち	to hold/ to carry something
中心	center/ middle/ heart/ core (physical center)
接続	connection
艦	warship
取得	acquisition
臆病	cowardly/ timid
若者	youngster/ the young/ youth
観察	observation
