de	of (expresses belonging)
monsieur	mister/ sir (a title or form of address for a man/ used with or…
nos	plural of notre/ our
savoir	to know (something)
choses	thing
salut	hi/ hello
cet	this
nom	name
argent	silver
bonjour	greetings/ hello (general salutation)
nuit	night
raison	reason (cause)
moins	little/ not very much/many
arrive	inflection of arriver:
maman	mummy/ mommy/ mom/ mum
reste	rest/ remainder
moment	moment (point in time)
voulais	to want/ wish/ desire
seul	lonely
aider	to help/ to aid
air	air (gases of the atmosphere)
entre	between
papa	papa/ a child's father/ also as form of address: dad/ daddy
passe	to go past
aurais	to have/ to own/ to possess/ to get
problème	problem
ah	ah
peur	fear
regarde	to look at
voulez	to want/ wish/ desire
gars	lad/ guy
trouvé	to find/ to retrieve something lost/ turn up something hidden/ or…
fils	yarn/ thread/ wire
attends	to wait for/ to await
savez	to know (something)
trouver	to find/ to retrieve something lost/ turn up something hidden/ or…
trois	three
assez	to a sufficient or moderate degree/ enough/ sufficiently
famille	family (group of related people)
dû	what is owed/ what is due/ money's worth
eh	signifying indifference or surprise
toutes	all
plaît	to please/ to appeal to (usually translated into English as like…
pourrait	can/ to be able to
travail	work/ labor
pris	to take
pu	past participle of pouvoir
tête	head (part of the body)
quelle	which
sait	to know (something)
sommes	to be
appelle	to call (out)
quelques	plural of quelque (“some”)
faites	to do
partir	to share/ to share out/ to divide
vite	quickly
arrête	to stop/ to come to a standstill/ to halt/ to stop from moving
seule	lonely
serait	to be
voiture	car (wheeled vehicle usually pulled by a horse)
enfants	child (someone who is not yet an adult)
tuer	to kill
merde	shit!/ crap!
hé	Used to call someone/ hey
pendant	present participle of pendre
idée	idea
chance	chance
parle	to speak/ talk
aurait	to have/ to own/ to possess/ to get
part	to share/ to share out/ to divide
elles	she
jours	day
grand	big
venir	to come (to move from one place to another that is nearer the speaker)
ami	friend (one who is affectionately attached to another)
demain	tomorrow
hein	huh/ hey/ eh
tard	late
puis	then/ after/ next
truc	procedure/ technique
passer	to go past
petite	small
tant	so much
connais	inflection of connaître:
combien	how much (for uncountable nouns and portions)
mec	guy/ fellow/ bloke/ chap/ dude/ boyfriend
sens	to smell (to have a certain odor)
pouvez	can/ to be able to
porte	to carry
sortir	to exit/ go out/ come out
super	superb/ great
heure	hour/ time
contre	against (in physical contact with)
coup	blow/ hit/ strike
comprends	to understand/ comprehend
entendu	to hear
vient	to come (to move from one place to another that is nearer the speaker)
allons	to go
ensemble	together
nouveau	new/ novel
amour	love
importe	inflection of importer:
sang	blood
désolée	desolate/ forsaken
cas	initialism of conseil d'administration
sous	below/ under
rester	to stay
amis	friend (one who is affectionately attached to another)
prends	to take
fini	to finish/ end/ complete
hommes	man (adult male human)
tué	to kill
question	question (interrogation by torture)
partie	divided into two equal parts vertically/ per pale/ said of an…
histoire	story
devrais	must/ to have to/ should (as a requirement)
aide	help/ support
dernière	feminine singular of dernier
demande	to ask
chercher	to look for/ to seek
pensais	to think/ reflect/ concentrate one's mind on something
genre	kind
seulement	only
police	police
car	as/ since/ because/ for
mois	month
frère	brother (relation/ relative)
laisser	to leave/ to leave behind
aucun	no/ none/ not any
mettre	to put/ to place
eux	disjunctive form of ils/ them
laisse	to leave/ to leave behind
chaque	each
ville	town/ city
arrivé	to arrive (often followed by a location)
devrait	must/ to have to/ should (as a requirement)
parlé	to speak/ talk
avez-vous
vont	to go
longtemps	for a long time/ over a long period
aucune	no/ none/ not any
heures	plural of heure
bébé	baby
place	place/ square/ plaza/ piazza
revoir	to see again
putain	whore/ hooker
compris	to understand/ comprehend
ni	neither/ nor
savais	to know (something)
leurs	their
étaient	to be
attention	attention (mental focus)
donner	to give/ to transfer the possession/holding of something to…
affaire	business/ matter/ affair
endroit	place/ spot (specified area)
pourrais	can/ to be able to
corps	body
façon	way/ manner/ fashion
donné	to give/ to transfer the possession/holding of something to…
est-il	is he
voici	here (it) is
train	train (rail mounted vehicle)
dont	of/from whom/which/ whose/ whereof
écoute	to listen
yeux	eye/ organ that is sensitive to light/ helping organisms to see
trouve	to find/ to retrieve something lost/ turn up something hidden/ or…
pouvoir	can/ to be able to
type	type/ sort/ kind
perdu	past participle of perdre
premier	first
première	first
côté	side
point	point (small mark)
tellement	so/ so much/ very
main	hand
tiens	your/ belonging to you (singular)
sois	to be
enfant	child (someone who is not yet an adult)
vieux	old
matin	morning
venu	to come (to move from one place to another that is nearer the speaker)
pardon	excuse me
là-bas	there/ over there
suite	result
vers	worm
minutes	minute (etymology 1/ time unit/ all same senses)
demandé	to ask
venez	to come (to move from one place to another that is nearer the speaker)
devant	must/ to have to/ should (as a requirement)
dr	abbreviation of docteur (as a title)
enfin	finally/ in the end
arrêter	to stop/ to come to a standstill/ to halt/ to stop from moving
cause	cause
nouvelle	feminine singular of nouveau (“new”)
attendez	to wait for/ to await
chambre	a chamber in its various senses/ including:
droit	right (entitlement)
parti	to share/ to share out/ to divide
mis	to put/ to place
eau	water/ a liquid that is transparent/ colorless/ odorless/ and…
compte	account (bank or user account)
dirait	to say/ to tell (to express through speech)
terre	earth/ soil
belle	handsome/ fine/ attractive
espère	to hope
aimerais	to love (usually of a person/ otherwise the meaning is closer to…
loin	far/ distant
as-tu
mari	husband
donne	to give/ to transfer the possession/holding of something to…
fin	end/ close/ finish
croire	to believe (someone)
mme	abbreviation of Madame
aura	to have/ to own/ to possess/ to get
gros	big/ thick/ fat
boulot	work
plutôt	earlier/ sooner
chérie	feminine singular of chéri
prêt	ready
filles	girl
bureau	desk
mourir	to die/ to be dying
hier	yesterday
possible	possible
jouer	to play (engage in games or play)
demander	to ask
celui	the one
voulait	to want/ wish/ desire
beau	handsome/ fine/ attractive
jeune	young
euh	er/ um/ uh/ expressing hesitation/ reflection/ confusion/ or doubt
dehors	outside
docteur	a doctor (physician)
a-t-il	The interrogative form of avoir in the third-person singular…
confiance	confidence
appeler	to call (out)
années	year (period)
vérité	truth
école	school
chef	head
femmes	woman
propos	aim/ intention
semaine	week
vivre	to live
regardez	to look at
feu	fire
journée	day
madame	a title or form of address for a woman/ formerly for a married…
hey
téléphone	telephone
près	near (a time or a place)/ close (to a time or a place)
affaires	business/ matter/ affair
meilleur	good/ all right/ great
devez	must/ to have to/ should (as a requirement)
dessus	on (it)
mains	hand
penses	to think/ reflect/ concentrate one's mind on something
prie	to pray
équipe	team
vas-y	go ahead/ go on
grande	big
manger	to eat
arriver	to arrive (often followed by a location)
dur	hard/ tough (difficult to penetrate)
guerre	war
ait	to have/ to own/ to possess/ to get
appelé	past participle of appeler
marche	Marche (a department of France)
sécurité	security/ safety
garçon	boy
essaie	to test/ to try on
important	important
dites	to say/ to tell (to express through speech)
exactement	exactly/ quite
font	third-person plural present indicative of faire
fort	strong/ powerful
presque	almost
plein	full/ full up
derrière	behind
ben	Well/ uh
mariage	marriage
parents	relative/ relation/ family member
capitaine	captain/ leader
dernier	last
fou	mad/ crazy
ceux	masculine plural of celui: those
tomber	to fall
attendre	to wait for/ to await
vue	past participle of voir
pensé	to think/ reflect/ concentrate one's mind on something
souviens	inflection of souvenir:
envie	desire/ lust/ urge
fête	winter holidays (always in plural)
jeu	game (activity performed for amusement)
génial	ingenious/ characteristic of a genius
pays	land/ region/ home ground/ homeland/ home country/ country/ nation
garde	to keep/ to retain/ to store/ to save
cours	to run
bientôt	soon
ii	two
numéro	number
personnes	person
cinq	five
parfait	past participle of parfaire
excusez-moi	excuse me
laissé	to leave/ to leave behind
ainsi	in this way/ thus
retour	return
semble	inflection of sembler:
autant	so much
peine	punishment
minute	minute (etymology 1/ time unit/ all same senses)
essayé	to test/ to try on
plan	map (schematic maps of streets/ subways/ etc.)
instant	pressing/ insistent
serai	to be
prison	prison
penser	to think/ reflect/ concentrate one's mind on something
essayer	to test/ to try on
prend	to take
arme	weapon
mauvais	bad
mot	word
travailler	to work
quatre	four
rentrer	to go back/ to re-enter
regarder	to look at
choix	choice
êtes-vous
parfois	sometimes
film	movie/ film
abord	the manner with which one acts in the presence of another person…
voyez	to see (visually)
faute	error/ mistake
facile	easy/ simple
croyais	to believe (someone)
bas	low
changer	to exchange (something)
entendre	to hear
plaisir	pleasure
heureux	happy
entrer	to enter
voudrais	to want/ wish/ desire
es-tu
propre	own
étiez	to be
tour	tower
fera	to do
ensuite	in turn/ subsequently/ thereafter/ then
garder	to keep/ to retain/ to store/ to save
agent	agent
allait	to go
lit	bed
travaille	to work
adore	inflection of adorer:
amie	friend (one who is affectionately attached to another)
rendre	to give back
allons-y	first-person plural imperative of y aller
route	to route
lieu	place
année	year (period)
voit	to see (visually)
commence	inflection of commencer:
service	service
devoir	duty
attend	third-person singular present indicative of attendre
drôle	funny/ amusing
difficile	difficult
sûre	sure/ certain
pire	bad
pos
peuvent	can/ to be able to
sujet	subject
état	state/ condition
ceci	this
impossible	impossible
sorte	to exit/ go out/ come out
perdre	to lose (be unable to find)
dollars	dollar/ usually the US dollar.
voulu	to want/ wish/ desire
morte	past participle of mourir
ira	third-person singular future of aller
faisait	to do
bizarre	bizarre/ odd/ strange/ funny
oublié	forgotten
arrêtez	to stop/ to come to a standstill/ to halt/ to stop from moving
ferai	to do
serais	to be
tôt	early
inquiète	to worry
payer	to pay (for)
coeur	heart (organ)
dès	since/ from
pouvais	can/ to be able to
reviens	to come back/ to return
chien	dog
suffit	inflection of suffire:
prenez	to take
pensez	to think/ reflect/ concentrate one's mind on something
café	coffee (drink)
calme	calm
cherche	to look for/ to seek
montrer	to show
parles	to speak/ talk
photo	photo
ferme	to shut
problèmes	problem
the
cœur	heart (organ)
sûrement	surely/ certainly
verre	glass (substance)
aimes	to love (usually of a person/ otherwise the meaning is closer to…
devons	must/ to have to/ should (as a requirement)
veulent	to want/ wish/ desire
doute	doubt
musique	music
courant	to run
sauf	safe (free from harm)
moyen	means
nouvelles	news/ a piece of information
puis-je	an interrogative form of je peux
avis	opinion
sauver	to save/ rescue/ to protect
hôpital	hospital
questions	question (interrogation by torture)
meurtre	murder
sérieux	serious
seconde	second
trucs	procedure/ technique
comprendre	to understand/ comprehend
allais	to go
esprit	immaterial or incorporeal substance
cool	cool (only its informal senses/ mainly fashionable)
mlle	A form of address or title for an unmarried woman: Miss
marché	to walk
fous	mad/ crazy
laisse-moi
haut	high
salle	hall
malade	ill/ unwell/ sick
changé	to exchange (something)
gentil	noble/ gallant/ courteous
allé	to go
six	six
simple	single
john	a male given name and surname in English
semaines	week
celle	the one
jack
appris	to learn
seigneur	lord (aristocrat/ man of high rank)
dîner	to dine
sors	to exit/ go out/ come out
commencé	to begin/ commence
suppose	inflection of supposer:
chemin	path/ way/ road
partout	everywhere
bras	arm
cul	butt/ bum/ ass/ arse
prochaine	upcoming
visage	face (of a human)
h	The eighth letter of the French alphabet/ written in the Latin script.
meilleure	comparative degree of bon ("better")
face	face
soirée	evening
roi	king
surtout	above all
retard	delay
écrit	to write
livre	book
rapport	ratio
chéri	past participle of chérir
message	message
voulez-vous
vaut	to be worth
ferais	to do
morts	past participle of mourir
boire	to drink
soyez	to be
président	president
plait	to please/ to appeal to (usually translated into English as like…
bois	to drink
sinon	except/ apart from
erreur	error (a faulty process of thought that leads to conclusions out…
new
ecoute
mr	(dated) abbreviation of Monsieur
rentre	to go back/ to re-enter
rendez-vous	date
devait	must/ to have to/ should (as a requirement)
revenir	to come back/ to return
joue	cheek
pauvre	poor (financially deprived)
devenir	future
s	The nineteenth letter of the French alphabet/ written in the Latin…
rencontrer	to meet
sort	fate/ destiny (consequences or effects predetermined by past…
commencer	to begin/ commence
pouvait	can/ to be able to
occupe	to occupy/ to take up
entends	to hear
souvent	often
pièce	room in a house/ etc.
reçu	to receive
grave	serious
mets	to put/ to place
intérieur	interior
honneur	honor
dormir	to sleep
an	year
faux	false/ untrue
messieurs	mister/ sir (a title or form of address for a man/ used with or…
groupe	to group (to put together to form a group)
rêve	dream
carte	card
aviez	to have/ to own/ to possess/ to get
appel	call
manque	to lack/ to be lacking in
envoyé	to send
début	start/ beginning
sam
puisse	can/ to be able to
écoutez	to listen
laissez-moi
bonsoir	good evening
content	content/ satisfied/ pleased
secret	secret
venue	coming/ arrival
cher	dear/ honey/ hon
dis-moi
effet	effect
voyons	to see (visually)
sac	bag/ sack
continue	inflection of continuer:
acheter	to purchase/ buy
voix	voice
certains	certain/ guaranteed (sure/ positive)
occuper	to occupy/ to take up
noël	Christmas/ Christmas time
gagner	to win
grâce	grace/ charm
maître	master
prix	prize
mauvaise	bad
général	general
âge	age
long	long
rue	street/ road
tirer	to draw/ drag/ pull
apprendre	to learn
cheveux	a headhair
noir	black in colour
promis	to promise
avaient	to have/ to own/ to possess/ to get
patron	a boss/ employer/
avocat	lawyer/ attorney
force	force
accident	accident
dix	ten
probablement	probably
laissez	to leave/ to leave behind
bout	end/ extremity/ tip (of a physical object)
ordre	order (way in which things are arranged)
armes	weapon
cru	raw (uncooked/ unprocessed)
déteste	to hate/ to detest (to thoroughly dislike)
retrouver	to find (again)/ to rediscover
millions	million (10⁶)
incroyable	incredible
voyage	to travel/ to voyage
ailleurs	elsewhere/ somewhere else
oublie	to forget
ressemble	to resemble (to share similar qualities with)
bienvenue	welcome
disparu	missing in action person
protéger	to protect
utiliser	to use/ to utilize
situation	situation (all meanings)
petits	small
aurai	to have/ to own/ to possess/ to get
veux-tu
connaissez	to know (of)/ to be familiar with (a person/ place/ fact/ event)
simplement	simply
scène	stage (where performances are held)
sœur	sister
prête	ready
oncle	uncle
devriez	must/ to have to/ should (as a requirement)
liste	list (to create a list)
soeur	nonstandard spelling of sœur
complètement	completely
dos	back (of a person)
armée	army
paix	peace
battre	to beat/ to defeat
york
crime	a category of severe offences within French law/ comparable to a…
anniversaire	birthday
finir	to finish/ end/ complete
réussi	to manage to do something
agit	to act/ to do (something)
i	The ninth letter of the French alphabet/ written in the Latin script.
retourner	to turn over/ turn upside-down/ (in cooking) to turn
sale	dirty
libre	free/ at liberty
bouge	to move
contrôle	to check or examine
rappelle	to call again/ to call back
arrêté	to stop/ to come to a standstill/ to halt/ to stop from moving
hôtel	mansion/ town house/ hotel (sense 1)
idiot	idiotic/ stupid
okay	OK (endorsement/ approval)
rencontré	past participle of rencontrer
restez	to stay
absolument	absolutely/ totally/ completely
mots	word
victime	victim
impression	an impression/ the overall effect of something
décidé	to decide
sympa	nice/ likeable
pars	to share/ to share out/ to divide
fasse	to do
avion	aeroplane
bordel	brothel
habitude	habit (action done on a regular basis)
table	table (furniture with a top surface to accommodate a variety of uses)
rouge	red (of a red color)
système	system (various meanings)
photos	photo
médecin	physician/ (medical) doctor
seras	to be
bateau	a vessel of any size/ a ship or boat
stupide	stupid
faim	hunger (desire of food)
autour	around
fond	back
surprise	feminine singular of surpris
croyez	to believe (someone)
devais	must/ to have to/ should (as a requirement)
ligne	line
porter	to carry
imagine	inflection of imaginer:
colère	anger/ rage
clair	clear (see-through)
seront	to be
savait	to know (something)
balle	chaff (inedible casing of a grain seed)
gagné	to win
or	gold
hors	outside
magnifique	magnificent/ splendid/ superb
risque	risk
terminé	to end/ to finish/ to terminate
su	past participle of savoir: known
heureuse	happy
mission	mission (duty that involves fulfilling a request)
jolie	pretty/ cute
parlez	to speak/ talk
présent	present
sorti	to exit/ go out/ come out
cadeau	present/ gift
expliquer	to explain
volé	to fly through the air
plusieurs	several/ many/ a lot
gauche	left
ferait	to do
neuf	nine
passe-t-il
ouvre	inflection of ouvrir:
disais	to say/ to tell (to express through speech)
dedans	towards the inside/ inwardly/ internally
disent	to say/ to tell (to express through speech)
pouvons	can/ to be able to
allez-y	go ahead/ go on
suivre	to follow (literal sense)
pourra	can/ to be able to
inspecteur	inspector
réponse	response/ answer/ reply (a communication)
lumière	light
pieds	foot
pote	mate (UK)/ buddy (US)
montre	watch/ wristwatch
pied	foot
marcher	to walk
charlie
auras	to have/ to own/ to possess/ to get
envoyer	to send
vraie	true
espèce	type/ sort/ kind
doivent	must/ to have to/ should (as a requirement)
allô	hello (when answering at the beginning of a call)
pareil	such
vas-tu
soleil	sun (star)
camp	camp (outdoor area for tents/ etc.)
fallait	to need/ have to/ to be necessary (that)
coin	wedge/ cornerpiece
ignore	inflection of ignorer:
moitié	half
you
selon	according to/ whichever applies/ depending on
tenir	to have/ to hold
grosse	feminine singular of gros
vouloir	to want/ wish/ desire
michael	a male given name from English of modern usage
vieille	feminine singular of vieux
devenu	to become
continuer	to continue
rend	third-person singular present indicative of rendre
sortie	exit/ way out
recherche	research
arrière	back/ rear
lire	to read
doucement	softly
joli	pretty/ cute
avance	progression/ advance
exact	exact/ precise
disait	to say/ to tell (to express through speech)
club	club (an association of members joining together for some common…
arrivée	arrival
tue	past participle of taire
laquelle	which/ that/ whom
poser	to stop carrying/ to put down (something or somebody)
chaud	warm/ hot
aimé	to love (usually of a person/ otherwise the meaning is closer to…
david	David
fais-tu
tom	acronym of territoire d'outre-mer (“French overseas territory”)
professeur	teacher
quitter	to discharge somebody from an obligation
loi	law (legal code)
tueur	killer
donne-moi
flics	police officer/ copper/ pig/ rozzer
connaître	to know (of)/ to be familiar with (a person/ place/ fact/ event)
lettre	letter (written character)
forme	to form (generic sense)
connaît	to know (of)/ to be familiar with (a person/ place/ fact/ event)
conseil	piece of advice
bar	bar (establishment)
normal	normal (according to norms/ usual)
danger	danger
dangereux	dangerous
folle	mad/ crazy
jure	inflection of jurer:
tiré	to draw/ drag/ pull
essaye	to test/ to try on
bonnes	maid
offre	offer
but	aim
froid	cold (temperature)
allez-vous
prêts	ready
tranquille	calm/ quiet/ tranquil/ still/ peaceful/ serene
gamin	kid (child)
joe
classe	to classify
joué	to play (engage in games or play)
poste	post office
con	(dated) cunt/ pussy (the female genitalia)
mike	a male given name
attaque	attack
boîte	box (a container)
enquête	inquest/ investigation/ examination
visite	to visit (a place)
juge	judge
moi-même	myself
bord	border/ edge/ limit/ boundary
debout	standing/ stood up/ upright
envoie	to send
preuve	evidence/ proof
oublier	to forget
bons	good
vivant	to live
ciel	sky
lu	they (singular). A gender-neutral singular third-person subject…
touche	touch
aimer	to love (usually of a person/ otherwise the meaning is closer to…
faites-vous	to do
télé	TV/ telly
met	third-person singular present indicative of mettre
écouter	to listen
serez	to be
ll
pourtant	however/ yet
change	exchange
triste	sad
droite	right (on the right-hand side)
gueule	gullet/ snout/ face (of an animal)
tombe	to fall
sentir	to smell (to have a certain odor)
ouvrir	to open
travers	outside (the external part of)
santé	health
dossier	back of furniture/ to rest the sitter's back on
ie
jeunes	young
frank	a male given name/ equivalent to English Frank
coucher	to lay/ to lay down
cuisine	kitchen
monte	to go up/ to climb (go to a higher position)
pouvez-vous
signifie	to signify/ mean
entrez	to enter
relation	relation
centre	centre/ center
dame	lady
chacun	each/ each one
chanson	song
foutre	to do/ to fuck around with/ to dick around/ to fritter/ to tinker
voler	to fly through the air
blanc	white color
george
certain	certain/ guaranteed (sure/ positive)
don	gift/ talent/ knack
âme	soul
manière	manner/ way
flic	police officer/ copper/ pig/ rozzer
décision	decision
mange	inflection of manger:
vit	to see (visually)
compagnie	company
déjeuner	to lunch/ to eat lunch/ to have lunch
différent	different
tire	inflection of tirer:
ordres	order (way in which things are arranged)
clé	alternative spelling of clé (“key”)
vaisseau	ship/ vessel
secondes	second
enfer	Hell
sortez	to exit/ go out/ come out
vendre	to sell
faisais	to do
responsable	responsible
mecs	guy/ fellow/ bloke/ chap/ dude/ boyfriend
nulle	feminine singular of nul
signe	sign (indicator/ indication/ mathematical polarity)
lieutenant	lieutenant
aille	to go
acheté	to purchase/ buy
étrange	strange (bizarre/ odd/ abnormal)
diable	devil
viennent	to come (to move from one place to another that is nearer the speaker)
monter	to go up/ to climb (go to a higher position)
là-dedans
l	The twelfth letter of the French alphabet/ written in the Latin…
capable	able/ capable
emmener	to take off/ take away or out
écrire	to write
honte	shame (feeling)
bouche	mouth
préfère	to prefer
coupable	guilty
rire	to laugh
payé	to pay (for)
soin	care
milieu	middle/ center
appartement	apartment/ flat
prochain	upcoming
cerveau	brain (organ of thought)
paris	Paris (the capital and largest city of France)
m	The thirteenth letter of the French alphabet/ written in the Latin…
blague	pouch/ especially for tobacco
choisi	to choose
époque	vintage
aurez	to have/ to own/ to possess/ to get
voie	to see (visually)
réunion	Réunion (an island/ overseas department/ and administrative region…
connu	known
allée	past participle of aller
intérêt	interest (great attention and concern from someone)
cheval	horse
combat	combat (hostile interaction)
silence	silence
coups	blow/ hit/ strike
existe	inflection of exister:
ia	initialism of intelligence artificielle (“artificial…
retourne	to turn over/ turn upside-down/ (in cooking) to turn
tel	such
trou	hole
public	public
peter
oeil	eye/ organ that is sensitive to light/ helping organisms to see
pleine	full/ full up
cacher	to hide
amoureux	love
drogue	drug
commandant	to order (tell someone to do something)
garçons	boy
faisons	to do
paul	Paul (biblical figure)
n	The fourteenth letter of the French alphabet/ written in the Latin…
tient	to have/ to hold
est-elle
prise	socket/ wall socket (also prise électrique)
gouvernement	government
dirai	to say/ to tell (to express through speech)
client	client/ retainer/ follower (person who is under the patronage of…
adresse	direction
journal	That is relative to each day/ journal
contact	contact/ contact (with another person)
dingue	mad/ crazy/ nuts
sent	third-person singular present indicative of sentir
récupérer	to get back/ to recover/ to recuperate
base	base (bottom part of something)
preuves	evidence/ proof
présente	present
peau	skin of a person or animal
servir	to serve (to help in a shop/ to bring a meal to someone)
peuple	people (nation/ distinct ethnic group)
exemple	example
fiche	record
max	a male given name
promets	to promise
lequel	which/ that/ whom
blessé	to wound/ to injure
c	The third letter of the French alphabet/ written in the Latin script.
société	company/ frequentation
tort	fault
sept	seven
pourriez	can/ to be able to
savent	to know (something)
ouvert	to open
héros	hero
menti	to lie (say something untrue)
mer	sea (large body of water)
contente	content/ satisfied/ pleased
quitté	to discharge somebody from an obligation
jeter	to throw
sauvé	to save/ rescue/ to protect
bière	beer
assis	sat/ sat down/ seated
robe	dress/ frock
ecoutez
devient	to become
félicitations	congratulation
opération	operation (method by which a device performs its function)
prévu	to anticipate/ foresee/ expect (reaction/ event/ etc.)
fut	to be
tenez	to have/ to hold
livres	book
répondre	to reply/ to answer
seuls	lonely
pute	whore/ slut (prostitute)
entrée	entry/ act of entering
vol	flight
horrible	horrible (causing horror)
vin	wine
dommage	damage
dites-moi
auriez	to have/ to own/ to possess/ to get
colonel	a colonel/ highest commissioned officer below generals
ramener	to take back/ bring back/ restore
règles	rule/ regulation
nez	nose
justice	justice
fbi	FBI (Federal Bureau of Investigation)
découvert	to discover
départ	departure/ start
bruit	a noise
secours	to succor/ to help out
vérifier	to verify
enceinte	pregnant
mise	feminine singular of mis
témoin	witness
dirais	to say/ to tell (to express through speech)
directeur	director
intéressant	interesting
excuse	excuse
environ	about/ close to/ around
t	The twentieth letter of the French alphabet/ written in the Latin…
inutile	useless/ unnecessary/ pointless
terrible	terrible
danse	dance
position	position
humain	human
apparemment	apparently (seemingly)
avenir	future
rêves	dream
œil	eye/ organ that is sensitive to light/ helping organisms to see
bête	beast/ animal
sérieusement	seriously
bravo	bravo!/ hear/ hear!/ well said!/ well done!
approche	to approach/ to come close to/ to move towards
nourriture	food/ nourishment
fric	dosh/ dough/ bread (money)
plupart	main part/ majority
lycée	a public secondary school
tas	heap/ pile/ a great many
empêcher	to stop/ to prevent/ to hinder
longue	long
sexe	sex (the biological category)
niveau	level (general)
banque	bank
éviter	to avoid
étions	to be
lune	the Moon
pitié	pity/ mercy
liberté	liberty/ freedom. 1688/ Guy Miège/ The Great French Dictionary.…
expérience	experiment/ trial/ test
procès	lawsuit
radio	radio/ tuner
hum	um.../ hm
verra	to see (visually)
thé	tea (especially made from leaves of the tea plant)
